"","DonorID","Period","Regions","Sex","`Age (Numeric)`","RIN","pH","`PMI (hours)`","`Dissection Score`","`Proportion of Neurons (MultiBrain)`","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Oligodendrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Residuals"
"ENSG00000215692",0.281280624760786,0,0.00908042390925229,1.07233072726648e-12,7.57595222950071e-05,3.87801201244299e-07,5.18992392612567e-05,0.00089214547802036,1.06098766705082e-07,0.0674500031918777,0.0247374992044152,0.0129701467305268,0.0174524896414608,0.586008514421064
"ENSG00000160710",0.400626986204576,0,0.0278651251907008,1.08328351569626e-11,0.0409430723085896,0.00732231104936502,0.000425771774375619,0.0652931835872375,4.14117415634336e-05,0.107222522132722,0.0418157195746038,0.0412692545907209,0.0900874217391474,0.177087220095565
"ENSG00000117569",0.195943856664754,0.36678832359982,0.0231080711101302,1.98372614217813e-10,0.000826877665828337,6.21905167494632e-06,0.000215907707230923,0.000185971665328512,2.10309494968596e-05,0.118857349549787,0.0548344673119907,0.0345182119044775,0.0420280179966198,0.162665694624489
"ENSG00000167395",0.0949329659395147,0.327408338315287,0.109757814396621,1.71586541887944e-11,0.000275196144841407,0.000405661830875558,0.0010242365314139,0.00593065514460777,1.38650172300496e-06,0.130963308514833,0.0432417729251496,0.0243833424438555,0.0356946306339823,0.225980690660136
"ENSG00000078269",0.0737076183064247,0,0.00362344367814055,3.19129737757221e-13,0.0681137202087257,0.00139266608948442,0.000163055607035794,0.00728933288310839,4.71762310221625e-07,0.252307404259583,0.100277105421513,0.293418823193272,0.0180168464987195,0.181689512091363
"ENSG00000052795",0.17886472400475,0.140148882287616,0.0525126959983514,3.25679612565684e-10,0.00101074710294467,6.04853800124957e-07,0.000379804709136893,0.00582245779632639,0.0001295770883092,0.291209299278826,0.0649322025667488,0.058060134395635,0.0260098461905146,0.18091902340136
"ENSG00000122970",0.159346407896479,0.632027103890546,0.0433505708250586,3.09712494000726e-10,2.72431093174752e-06,1.20588433953676e-06,1.0944112662176e-05,1.15040722607759e-06,2.73706399027042e-06,0.0404434388618745,0.0143095380700279,0.0104779052436855,0.00943629869878105,0.0905899744246852
"ENSG00000103342",0.21506432214645,0.414160711401766,0.0412452982295079,3.77772977898195e-10,3.0822910389489e-05,4.41538479441877e-05,0.000265555528487407,0.000953113791152436,1.07031539844765e-09,0.0885855061366932,0.0287749388000123,0.0225518431110379,0.0296272854747533,0.158696447173718
"ENSG00000135213",0.306021363012167,0,0.0325882114248923,1.11154764532984e-14,0.0207465978935231,0.030296579711847,1.00074886483169e-06,0.0838841713660153,3.13441766911056e-06,0.0457354255882873,0.0137166541782702,0.0331363534540198,0.0386511506590869,0.395219357545346
"ENSG00000213370",0.435377429630995,8.64373063569704e-11,0.0351350811040575,3.66992573421788e-10,9.18288487172762e-05,0.00613011400131834,0.0348692134003577,0.00214696623477489,0.00124431378285119,0.00694700809746695,0.0847502628745104,0.1511068588239,0.0180691869292124,0.224131735818408
"ENSG00000171130",0.121251241675659,0.550636704704325,0.0342275395510535,5.36867040431996e-10,0.000381943335453722,1.43118776399283e-08,9.98458467394891e-06,3.30083827762288e-05,1.87590201803197e-06,0.0422139898071307,0.0153483383769454,0.00669955028988824,0.0107449895636614,0.21845081897767
"ENSG00000224016",0.0925097407474768,5.95088184847467e-14,0.382228368967889,3.11422950435844e-12,0.00288652496731873,0.00198886885588603,0.000738312137522278,0.000692536491002532,0.000421163328015259,0.0448254465171977,0.0129363536310963,0.0160425687183758,0.00273974659024758,0.441990369044798
