"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"72","13060_12_pcw_MFC_s2b",0.793884291849993,0,0.0427880462798888,0,0.163327661870119
"73","13060_12_pcw_HIP_s2b",0.616554022843753,0,0.0505482530988872,0.000577264936322558,0.332320459121037
"74","13060_12_pcw_IPC_s2b",0.741090860744274,0,0.0525606248446564,0.0156264223257397,0.19072209208533
"75","13060_12_pcw_A1C_s2b",0.755190631681348,0,0.0377450640258779,0.00251188794194651,0.204552416350827
"76","12820_13_pcw_STR_s3a",0.726945724636,0,0.020454461785181,0,0.252599813578819
"77","12820_13_pcw_M1C_s3a",0.837637533595824,0,0.0190900197762108,0,0.143272446627965
"78","12820_13_pcw_AMY_s3a",0.687373327030739,0.014899618637906,0,0,0.297727054331355
"79","12820_13_pcw_S1C_s3a",0.840042554545328,0,0.015320439125204,0,0.144637006329468
"80","12820_13_pcw_V1C_s3a",0.803703463192849,0,0.0225243610864467,0,0.173772175720704
"81","12820_13_pcw_A1C_s3a",0.605942658332622,0,0.0291325809346676,0.00446157257773135,0.36046318815498
"82","12820_13_pcw_HIP_s3a",0.540773962146828,0.0545383900101833,0.0311769977069999,1.67636677995508e-05,0.373493886468189
"83","12820_13_pcw_VFC_s3a",0.831141542347708,0,0.00889317460947911,0,0.159965283042813
"84","12820_13_pcw_MFC_s3a",0.800943641768259,0,0.0133794089720202,0,0.185676949259721
"85","12820_13_pcw_STC_s3a",0.769261028122809,0,0.0283977086794077,0,0.202341263197784
"86","12820_13_pcw_OFC_s3a",0.704850987438932,0,0.0277435081928863,0.00187422532507133,0.265531279043111
"87","12820_13_pcw_IPC_s3a",0.81986373026304,0,0.0235773416435631,0,0.156558928093397
"88","12820_13_pcw_DFC_s3a",0.801748233384801,0,0.0184083287766082,0,0.179843437838591
"89","12820_13_pcw_ITC_s3a",0.713511083031464,0,0.017352842462511,0,0.269136074506025
"90","12834_13_pcw_STR_s3a",0.661699378111335,0,0.0109473448338749,0,0.32735327705479
"91","12834_13_pcw_S1C_s3a",0.793637582490712,0,0.0174019409757546,0,0.188960476533534
"92","12834_13_pcw_V1C_s3a",0.690476033005084,0,0.0548346440364511,0,0.254689322958465
"93","12834_13_pcw_AMY_s3a",0.542683842245672,0.0224784304155142,0,0,0.434837727338814
"94","12834_13_pcw_IPC_s3a",0.752277144643017,0,0.0305556645228661,0,0.217167190834117
"95","12834_13_pcw_CB_s3a",0.544167995966986,0.0390614323652268,0.0300657706794822,0,0.386704800988305
"96","12834_13_pcw_DFC_s3a",0.734980116146781,0,0.0238030579713141,0,0.241216825881905
"97","12834_13_pcw_OFC_s3a",0.73938711685303,0,0.031304297907032,0,0.229308585239938
"98","12834_13_pcw_STC_s3a",0.732241368148526,0,0.0379239301651882,0,0.229834701686286
"99","12834_13_pcw_A1C_s3a",0.790682915039188,0,0.0186505103950718,0,0.19066657456574
"100","12834_13_pcw_HIP_s3a",0.552089593027101,0.0392342086076845,0.0288599307235788,0,0.379816267641636
"101","12834_13_pcw_M1C_s3a",0.80294218481029,0,0.018960204923548,0,0.178097610266162
"102","12834_13_pcw_ITC_s3a",0.720614055592604,0,0.0410580649288612,0,0.238327879478535
"103","12834_13_pcw_MD_s3a",0.748499408204168,0,0.00565330639908282,0,0.245847285396749
"104","12834_13_pcw_MFC_s3a",0.719237438003171,0,0.0239474607244085,0,0.25681510127242
"105","12834_13_pcw_VFC_s3a",0.752489850199983,0,0.0309804480727526,0,0.216529701727265
"106","12888_13_pcw_S1C_s3a",0.740227482045957,0,0.0419001478557264,0,0.217872370098317
"107","12888_13_pcw_DFC_s3a",0.702675664001987,0,0.0368655907490965,0.00859134872646839,0.251867396522449
"108","12888_13_pcw_CB_s3a",0.62780221467758,0,0.030407906135805,0,0.341789879186615
"109","12888_13_pcw_AMY_s3a",0.519912298884529,0.0155503474368123,0.00170938485213167,0,0.462827968826528
"110","12888_13_pcw_ITC_s3a",0.660073782394563,0,0.0584510939310928,0.00216458438559847,0.279310539288745
"111","12888_13_pcw_HIP_s3a",0.477207891603195,0.0289804373628837,0.0265670649397211,0,0.4672446060942
"112","12888_13_pcw_IPC_s3a",0.75763487673521,0,0.0352208708353023,0,0.207144252429488
"113","12888_13_pcw_A1C_s3a",0.724772671565682,0,0.0413502354260088,0,0.233877093008309
"114","12888_13_pcw_VFC_s3a",0.657799132398158,0,0.0607515380071396,0.0165021700514362,0.264947159543267
"115","12888_13_pcw_STR_s3a",0.67051227611506,0,0.0405141470297402,0,0.288973576855199
"116","12888_13_pcw_OFC_s3a",0.543300977090811,0,0.0484282144364386,0.0262269355542695,0.382043872918481
"117","12888_13_pcw_MFC_s3a",0.587479901343681,0,0.0284203040474739,0.0213686890225882,0.362731105586256
"118","12888_13_pcw_V1C_s3a",0.660031750599353,0,0.0384354704094566,0,0.301532778991191
"119","12888_13_pcw_M1C_s3a",0.745989339586067,0,0.0299983064907765,0,0.224012353923156
"120","12287_16_pcw_VFC_s3b",0.76568335147758,0,0.0110738210711565,0,0.223242827451264
"121","12287_16_pcw_OFC_s3b",0.789030390465547,0,0.00826555197294345,0,0.202704057561509
"122","12287_16_pcw_STC_s3b",0.64492592653187,0,0.037515431038421,0,0.317558642429709
"123","12287_16_pcw_DFC_s3b",0.611670307623995,0,0.0213879458624455,0,0.36694174651356
"124","12287_16_pcw_IPC_s3b",0.752998687927218,0,0.0196509300988647,0,0.227350381973917
"125","12287_16_pcw_A1C_s3b",0.768689889550027,0,0.0162500632748629,0,0.21506004717511
"126","12287_16_pcw_MFC_s3b",0.462969314623615,0.034480646255898,0.0375546109186589,0,0.464995428201828
"127","12287_16_pcw_STR_s3b",0.785503985020665,0,0.0167027172815379,0,0.197793297697797
"128","12287_16_pcw_MD_s3b",0.67139323041012,0.0335226188501498,0.0599140461927531,0.00243560572876527,0.232734498818212
"129","12287_16_pcw_V1C_s3b",0.681559014468149,0,0.0202392468051415,0,0.298201738726709
"130","12837_16_pcw_VFC_s3b",0.714991627469986,0,0.0182787564178603,0,0.266729616112153
"131","12837_16_pcw_STC_s3b",0.647554295587458,0,0.00929201173400463,0,0.343153692678537
"132","12837_16_pcw_IPC_s3b",0.758217619108073,0,0.0161367629147635,0,0.225645617977163
"133","12837_16_pcw_A1C_s3b",0.718088557309247,0,0.0414420166005777,0,0.240469426090175
"134","12837_16_pcw_MD_s3b",0.788647695785737,0,0,0,0.211352304214263
"135","12837_16_pcw_AMY_s3b",0.494016781781184,0.0349482431193772,0.048071592051285,0,0.422963383048154
"136","12837_16_pcw_V1C_s3b",0.571487384763883,0.0299864272616311,0.0780940131867192,0.00485221824312387,0.315579956544642
"137","12837_16_pcw_ITC_s3b",0.762351514856913,0,0.0220886486384052,0,0.215559836504682
"138","12837_16_pcw_CBC_s3b",0.275746013792066,0.0777641140844309,0.00757283834136617,0,0.638917033782137
"139","12837_16_pcw_HIP_s3b",0.64847402494657,0.039971105883156,0.0211573854922109,0,0.290397483678063
"140","12837_16_pcw_STR_s3b",0.775568059267296,0,0.018227393404824,0,0.20620454732788
"141","12837_16_pcw_OFC_s3b",0.67079177941926,0.0111578146670518,0.026294069808073,0,0.291756336105615
"142","12837_16_pcw_DFC_s3b",0.667106496032247,0,0.0284964127857138,0,0.304397091182039
"143","12837_16_pcw_M1C_s3b",0.775460946909366,0,0.0286003333643107,0,0.195938719726323
"144","12837_16_pcw_MFC_s3b",0.668425976354946,0,0.0280336041052906,0,0.303540419539764
"145","12837_16_pcw_S1C_s3b",0.73815351924985,0,0.0230800454116167,0,0.238766435338534
"146","12879_16_pcw_HIP_s3b",0.22421251997427,0.115338623827072,0.0814891246911681,0,0.578959731507489
"147","12879_16_pcw_ITC_s3b",0.743263042764914,0,0.0106123771188833,0,0.246124580116203
"148","12879_16_pcw_DFC_s3b",0.675530848488192,0,0.0220724351340112,0.012024164257621,0.290372552120176
"149","12879_16_pcw_IPC_s3b",0.745643794019624,0,0.0166091021692398,0,0.237747103811136
"150","12879_16_pcw_STC_s3b",0.669629059181901,0,0.024254729290272,0,0.306116211527827
"151","12879_16_pcw_V1C_s3b",0.551303297806628,0,0.0344232497813068,0.0100541900276517,0.404219262384413
"152","12879_16_pcw_MD_s3b",0.799318385752561,0,0.0185870112055534,0,0.182094603041886
"153","12879_16_pcw_STR_s3b",0.763949658802338,0.00428607982146848,0.0269850390088654,0,0.204779222367328
"154","12879_16_pcw_M1C-S1C_s3b",0.711753980321347,0,0.0134292883646629,0,0.27481673131399
"155","12879_16_pcw_A1C_s3b",0.74061132629838,0,0.0189367600997566,0,0.240451913601863
"156","12879_16_pcw_VFC_s3b",0.680078583665977,0,0.0194263420338896,0,0.300495074300134
"157","12879_16_pcw_AMY_s3b",0.741899572100579,0.00458903166463316,0.0235876939434088,0,0.229923702291379
"158","12879_16_pcw_MFC_s3b",0.592407242538744,0.00411944152119541,0.0303498752780869,0,0.373123440661974
"159","12880_17_pcw_STR_s3b",0.706879844916147,0.027714055604334,0.011852831139686,0,0.253553268339834
"160","12880_17_pcw_STC_s3b",0.771604945181103,0,0,0,0.228395054818897
"161","12880_17_pcw_MD_s3b",0.746469827435225,0.013281122484058,0.0156712212351685,0,0.224577828845549
"162","12880_17_pcw_A1C_s3b",0.820632791491298,0,0.0148949327721144,0,0.164472275736588
"163","12880_17_pcw_HIP_s3b",0.632461333503783,0.0423706930950726,0.0174344957903558,0,0.307733477610789
"164","12880_17_pcw_DFC_s3b",0.809329099495028,0,0.0103329958365149,0,0.180337904668457
"165","12880_17_pcw_VFC_s3b",0.76240114753443,0,0.0104757195907697,0,0.2271231328748
"166","12880_17_pcw_IPC_s3b",0.856851881918796,0,0.0177148783878949,0,0.125433239693309
"167","12880_17_pcw_M1C-S1C_s3b",0.837206097385028,0,0.00763904134181476,0,0.155154861273158
"168","12880_17_pcw_V1C_s3b",0.704796079002935,0,0.0292628890122069,0,0.265941031984858
"169","12880_17_pcw_CBC_s3b",0.494336251054757,0.0831913589944953,0.0482891609609636,0,0.374183228989784
"170","12880_17_pcw_OFC_s3b",0.799845920812512,0,0.0207108904044438,0,0.179443188783044
"171","12880_17_pcw_AMY_s3b",0.549725740037349,0.0267389876970554,0.0471670991660624,0.00452305203242834,0.371845121067105
"172","12880_17_pcw_MFC_s3b",0.849048393882172,0,0.00688106903215587,0,0.144070537085672
"173","12885_19_pcw_STC_s4",0.755116537966777,0,0.00885634115496712,0,0.236027120878256
"174","12885_19_pcw_IPC_s4",0.712524319020665,0,0.012955848955193,0,0.274519832024142
"175","12885_19_pcw_M1C-S1C_s4",0.714449587988384,0,0.00982988256513164,0,0.275720529446485
"176","12885_19_pcw_MFC_s4",0.657059369946881,0,0.0384728014103362,0,0.304467828642783
"177","12885_19_pcw_V1C_s4",0.681150200474599,0,0.010360688814921,0,0.30848911071048
"178","12885_19_pcw_HIP_s4",0.474578285501731,0.113865212044298,0.0351753840589068,0,0.376381118395064
"179","12885_19_pcw_A1C_s4",0.72633139588971,0,0.0183372522763393,0,0.25533135183395
"180","12885_19_pcw_MD_s4",0.649600437180259,0.0327399989821674,0.0242351338905555,0,0.293424429947018
"181","12885_19_pcw_VFC_s4",0.805629555866626,0,0.00580922880843045,0,0.188561215324943
"182","12885_19_pcw_STR_s4",0.595560582337639,0.030434236486517,0.024512708105278,0,0.349492473070566
"183","12885_19_pcw_DFC_s4",0.735722085084636,0,0.00995317686545727,0,0.254324738049906
"184","12365_21_pcw_CBC_s4",0.684579892802917,0.0518364130370034,0.0255126774599488,0,0.238071016700131
"185","12365_21_pcw_ITC_s4",0.819823735732837,0,0.0148630074410801,0,0.165313256826083
"186","12886_21_pcw_MFC_s4",0.845847597948566,0,0.00851211884942937,0,0.145640283202004
"187","12886_21_pcw_M1C_s4",0.788836684281241,0,0.0120410716267584,0,0.199122244092
"188","12886_21_pcw_STR_s4",0.77336022909226,0.0229390780576344,0.0146079164241262,0,0.189092776425979
"189","12886_21_pcw_HIP_s4",0.695220811714549,0.0653566590412568,0.0197058091425927,0,0.219716720101602
"190","12886_21_pcw_STC_s4",0.825018305584196,0,0.00914813351885019,0,0.165833560896954
"191","12886_21_pcw_ITC_s4",0.871695970033732,0,0.00939893338406745,0,0.118905096582201
"192","12886_21_pcw_AMY_s4",0.70856702900421,0.0386619970668346,0.0341809768564642,0,0.218589997072491
"193","12886_21_pcw_VFC_s4",0.618922805404863,0.0825571874304905,0.0528697689918183,0,0.245650238172828
"194","12886_21_pcw_OFC_s4",0.82222487610756,0,0.00722336946066195,0,0.170551754431778
"195","12886_21_pcw_V1C_s4",0.823964990975137,0,0.0113040297998191,0,0.164730979225044
"196","12886_21_pcw_S1C_s4",0.847831242843645,0,0.0118295060866855,0,0.140339251069669
"197","12886_21_pcw_CBC_s4",0.444350598641171,0.0931014820812874,0.0287157735886199,0,0.433832145688921
"198","12886_21_pcw_IPC_s4",0.844164559667769,0,0.00595254663892601,0,0.149882893693305
"199","12886_21_pcw_DFC_s4",0.718000182241035,0,0.0268192241781707,0,0.255180593580795
"200","12288_24_pcw_HIP_s4",0.570698923343833,0.0968901061096913,0.0460489260989334,0,0.286362044447543
"201","12288_24_pcw_AMY_s4",0.297065796625512,0.194729025017539,0.0441984925150442,0.0111387168855052,0.4528679689564
"202","12288_24_pcw_DFC_s4",0.715911917340771,0,0.0204029208687641,0,0.263685161790465
"203","12288_24_pcw_S1C_s4",0.743460397797768,0,0.0230902197767036,0,0.233449382425528
"204","12288_24_pcw_MD_s4",0.723794154435466,0.0181166018591429,0.025131124329078,0,0.232958119376313
"205","12288_24_pcw_STR_s4",0.626090720086152,0.0571489635524495,0.0223530134975345,0,0.294407302863864
"206","12288_24_pcw_A1C_s4",0.783977132688212,0,0.0178348291065111,0,0.198188038205277
"207","12288_24_pcw_IPC_s4",0.779796432465556,0,0.0129552692770651,0,0.207248298257379
"208","12288_24_pcw_OFC_s4",0.727771321372415,0,0.0132516572067129,0,0.258977021420872
"209","12288_24_pcw_STC_s4",0.690142784122848,0,0.0157426184813453,0,0.294114597395807
"210","12288_24_pcw_ITC_s4",0.784478450364827,0,0.0160023271015471,0,0.199519222533626
"211","12288_24_pcw_VFC_s4",0.724251189298986,0,0.0215193160711506,0,0.254229494629864
"212","12288_24_pcw_M1C_s4",0.653099217412694,0,0.0306945768316393,0,0.316206205755667
"213","12288_24_pcw_MFC_s4",0.756656631278911,0,0.0168959299328934,0,0.226447438788196
"214","12288_24_pcw_CBC_s4",0.544409988939884,0.0609903928301644,0.0349501488287307,0.0155783238194187,0.344071145581802
"215","12288_24_pcw_V1C_s4",0.68899399197559,0,0.0279597489645001,0,0.28304625905991
