"","Period","`Mito Ratio`","Regions","RIN","`Age (Numeric)`","`Mapping Rate`","`rRNA ratio`","Diagnosis","`Total N Reads`","Sex","Residuals"
"ENSG00000149527",0.566926375013713,0.0917270363015553,0.00519587269840022,0.0246891277758202,0.00885946247407466,0.0256391616591618,0.00315310886337813,0.00133972664385058,5.18183645513159e-05,0,0.272418310205495
"ENSG00000157881",0.0720193365915948,0.633550015840027,0.0445986467756427,0.00273915456157512,0.000240221933071061,0.0190170839589486,0.00589398346415072,0.00235800989564829,0.000172471719155662,0.00244303379918863,0.216968041460997
"ENSG00000197921",0.2644246092346,0.0373350696057687,0.00536125875534985,0.00393951853158674,0.114679420739926,0.00385145847389143,0.00740336907614647,0.022367118527985,0.000380128568150902,0,0.540258048486595
"ENSG00000157873",0.574108477907384,0.0322875817229272,0.00519115073072412,0.00223055915983101,0.0165811510498946,0.0382606794614968,0.00391548560425087,0.00263801703035611,0.000281964352515943,0,0.324504932980619
"ENSG00000157870",0.162565126282784,0.229563082954036,0.0699810463643597,0.000159580459643058,0.000331192495955597,0.0292001051215275,0.00519628420052893,2.87259923350057e-14,4.98718953860671e-06,0.0053371664147672,0.497661428516831
"ENSG00000177133",0.061091334687275,0.0815956758649456,0,0.00496181433208723,0.00241280746234941,0.0685287987929395,4.71413854814202e-05,1.02132391746985e-12,1.88157362258843e-05,0.000580925243435296,0.780762686494239
"ENSG00000142611",0.0699105134775356,0.111507776637324,0.00898189042717051,0.0361097673995295,0.0839719090996579,0.0999008775429785,7.08027508210466e-06,0.0019341564598114,0.000588046481956843,0,0.587087982198954
"ENSG00000283572",0,0.0175477826081606,0,0.00553146036367576,0.010674011356174,0.0377424280786951,2.76415552412871e-06,0,0.0019829407570124,0,0.926518612680758
"ENSG00000238260",0,0.327097223750409,0.023410428309042,0.0924084865327906,0.000741932638424058,0.0255959935760861,0.00105038840746364,0.0111389510600818,0.00319035334515469,0.00203588149146222,0.513330360889086
"ENSG00000158109",0.789093377054882,0.104685996790304,0.018930460644801,0.00391741836745313,0.00762184657809148,0.000209987844657302,0.000513141341341727,3.13966954352106e-05,6.45835568828831e-05,0.000597826152482928,0.0743339649736688
"ENSG00000116213",0.155202735185547,0.577267458735804,0.00701228776593429,0.0027578902117991,4.57048196990744e-05,0.0318239248510021,0.00671854132567528,0.00371559281181902,0.00108472816842681,0,0.214371136124294
"ENSG00000227372",0.59098259511229,0.246353358572229,0,0.00390354556494785,0.00324260591383795,0.0115644577991608,0.000793047718172405,0,6.6308931787202e-07,0,0.143159726230044
"ENSG00000130764",0.0305413953034814,0.613824630930612,0.126772676063979,0.0276247952953509,9.37695390433126e-05,0.0121809960083572,0.00458005198942805,0.00499562769729641,2.9061097836692e-05,0,0.179356996074615
"ENSG00000116198",0.0189466090540727,0.727162359555492,0.0282354164703759,0.0281557878517052,0.0138985765021459,0.0159636743876379,0.00254412587428517,0.000340330118893552,0.00124693784793493,0.00102524983889013,0.162480932498567
"ENSG00000169598",0.242869516577903,0.502009978152496,0.0108150185967782,0.0231343325281575,0.00438565384505544,0.00326142462117302,2.68521872655469e-06,0.00438939192314634,0.0013291430060986,0,0.207802855530465
"ENSG00000198912",0.291242597979395,0.50269878011542,0.0283663852389794,0.0200815207555477,0.00193697033726745,0.00664447157642703,0.0063902074549116,0.00405652336705589,4.69802904206754e-05,0,0.138535562884575
"ENSG00000196581",0.584213159792116,0.215410743577371,0.00498875349290093,0.00339618701373678,0.00149465185651465,0.000925318549107189,0.000573534753504688,0.00189473561890566,3.00480255527121e-05,0,0.18707286732029
