"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"492","R11203",0.486446423675771,0.314667470703495,0,0.181679635685397,0.0172064699353367
"493","R11204",0.482522451688625,0.270294613052139,0,0.229010269591568,0.0181726656676674
"494","R11205",0.71324547895151,0.155852474173927,0,0.130902046874563,0
"495","R11206",0.727176476893181,0.168763375641719,0,0.0891593923915209,0.0149007550735796
"496","R11212",0.550823911503381,0.233990834315669,0.000658841336707192,0.202651425918394,0.0118749869258493
"497","R11213",0.448981816417288,0.23665120517014,0.00522043986816194,0.294783836747218,0.0143627017971924
"498","R11214",0.596994829688918,0.172213496460261,0,0.216822735119616,0.0139689387312045
"499","R11215",0.583247376838758,0.209509180508648,0,0.200354433589503,0.00688900906309113
"500","R11216",0.194765250320338,0.334686585317243,0,0.470548164362419,0
"501","R11217",0.491875805395409,0.212794892057457,0,0.252638635676461,0.0426906668706726
"502","R11218",0.333728732659128,0.271452867688663,0.0172072691912429,0.316342654861312,0.0612684755996546
"503","R11219",0.297886587981122,0.117050291028348,0,0.560599440918723,0.024463680071807
"504","R11222",0.632399270985281,0.18384567760015,0,0.179414888563062,0.00434016285150666
"505","R11223",0.451248887286374,0.24771500461776,0,0.288010355899755,0.0130257521961108
"506","R11224",0.726813615440188,0.087450744740871,0,0.171803309726634,0.0139323300923077
"507","R11225",0.368592374043175,0.332481106428023,0,0.235026691105703,0.0638998284230992
"508","R11226",0.58991163676368,0.183747963712688,0.00953740179567694,0.216802997727955,0
"509","R11227",0.578003118922833,0.176248802203434,0,0.194071728147712,0.051676350726021
"510","R11228",0.561161984414275,0.224771168818297,0,0.201887172082559,0.0121796746848694
"511","R11229",0.5691093076151,0.204523310302186,0,0.159273951452497,0.0670934306302166
"512","R11230",0.292010416125524,0.244181040450705,0,0.408915411398165,0.0548931320256051
"513","R11231",0.615060791758363,0.246860985514014,0.00684047131082969,0.119747397108431,0.0114903543083625
"514","R11233",0.333262898896365,0.295261903400237,0.0347140711578756,0.284289054291729,0.0524720722537931
"515","R11234",0.714233282777101,0.177493916904874,0,0.0976581214642187,0.0106146788538056
"516","R11235",0.390596116792253,0.268108311821317,0,0.33229305842235,0.00900251296408038
"517","R11236",0.474813039762045,0.153602854661049,0,0.342566674581642,0.0290174309952631
"518","R11238",0.67207328620316,0.226785522826799,0,0.0733809174149516,0.0277602735550895
"519","R11239",0.2768731458687,0.469438994528067,0.00556302968238106,0.15087024969096,0.0972545802298916
"520","R11241",0.533173587310985,0.16846980245544,0.0199344880085334,0.270730815412625,0.00769130681241681
"521","R11242",0.270063749779459,0.225292766005859,0.0261144897293929,0.307603872307029,0.17092512217826
