"Structure","Cell Type","DonorID","Regions","Structure Acroynm","Age Interval","Major Cell Type","nCount","nFeature"
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",8593,3159
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7607,3392
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6683,2994
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5373,2870
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",13916,4403
"Cer","Cer-ExN-4","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",5370,2400
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",7652,3385
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9197,3589
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",6415,3348
"Cer","Cer-InN-7","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",1678,1180
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",3865,2051
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",9266,3692
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5499,2745
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",5820,2893
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7009,3166
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",6187,2605
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",9664,3447
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",7998,3752
"Cer","Cer-ExN-3","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",6994,3108
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",11601,4186
"Cer","Cer-ExN-2","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",7679,3234
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6761,3169
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",9141,3935
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8230,3239
"Cer","Cer-OPC","611_donorID","Cerebellum","CB","13-15pcw","OPC",7621,3121
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",9719,3643
"Cer","Cer-ExN-2","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",9068,3407
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9735,3996
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",13111,4448
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8138,3435
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",6700,2897
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",6187,3073
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",14695,4817
"Cer","Cer-ExN-4","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",3412,2210
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",7864,3410
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5301,2750
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5653,2747
"Cer","Cer-CycPro","611_donorID","Cerebellum","CB","13-15pcw","Cycling progenitor cell",7736,3469
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5876,2798
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7857,3339
"Cer","Cer-InN-2","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5010,2429
"Cer","Cer-ExN-3","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",7933,3373
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6765,3041
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6361,3027
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6370,3078
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8956,3646
"Cer","Cer-OPC","611_donorID","Cerebellum","CB","13-15pcw","OPC",9942,3629
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",9398,3733
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",8172,3432
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",11216,4294
"Cer","Cer-ExN-4","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",14502,4394
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6410,3169
"Cer","Cer-ExN-3","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",13760,4557
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",10601,4180
"Cer","Cer-RG-3","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",9421,4186
