Structure,Cell Type,DonorID,Regions,Structure Acroynm,Age Interval,Major Cell Type,nCount,nFeature,SampleID
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1824,1256,611_Tha_B2
Thal,Thal-InN-2,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,3240,1993,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1584,1029,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1684,1146,611_Tha_B2
Thal,Thal-RG-2,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1473,1058,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1328,985,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,2115,1289,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1587,1084,611_Tha_B2
Thal,Thal-RG-3,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,3839,2032,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2245,1409,611_Tha_B2
Thal,Thal-ExN-1,611_donorID,Forebrain,DTH,13-15pcw,Excitatory Neurons,2258,1497,611_Tha_B2
Thal,Thal-InN-5,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2288,1420,611_Tha_B2
Thal,Thal-RG-3,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,3174,1907,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,2594,1550,611_Tha_B2
Thal,Thal-IP,611_donorID,Forebrain,DTH,13-15pcw,Intermediate progenitor,2032,1331,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1580,1068,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1995,1241,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1504,1016,611_Tha_B2
Thal,Thal-RG-1,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1420,982,611_Tha_B2
Thal,Thal-InN-1,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1784,1156,611_Tha_B2
Thal,Thal-RG-6,611_donorID,Forebrain,DTH,13-15pcw,Radial glia,1943,1220,611_Tha_B2
Thal,Thal-InN-3,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1519,1009,611_Tha_B2
Thal,Thal-InN-2,611_donorID,Forebrain,DTH,13-15pcw,Inhibitory Neurons,1646,1109,611_Tha_B2
