"","SampleID","Age Interval","Period","DonorID","Sex","Structure Acronym","Regions","Hemisphere","PMI (hours)","Sequencing Batch","Chimeric Pairs","Percent aligned ChrX","Percent aligned ChrY","AUC all percentage","AUC unique percentage","Mode Fragment Length Count","Exonic Rate","Total fragments assigned exon fc","Total fragments count unique exon fc","Total fragments count unique assigned exon fc","Total Assigned Gene","Intronic Rate","Percentage mapped multi loci STAR","Percentage mapped too many loci STAR","Percentage unmapped other STAR","Reads Mapped","Total N Reads","Mapping Rate","Mapping Rate unique","Mapping Rate both","Junction count","Mapped Pairs","Percentage mapped multi loci both STAR","Percentage mapped too many loci both STAR"
"450","ERR1473399","8-9pcw","Prenatal","11831_donorID","M","MEDU","Hindbrain","",NA,"sequencing batch:FC2014_035",2.73,2.93,0.1,130.71,133.15,172465,74.38,24022435,39270551,24022435,23630720,9.74,6.08,0.06,0.04,32295437,32785401,92.43,30303269,98.5,277711,32295437,6.1,0.1
"451","ERR1473400","8-9pcw","Prenatal","11858_donorID","M","MEDU","Hindbrain","",2,"sequencing batch:FC2014_043",3.96,3.17,0.09,136.45,138.39,185736,84.06,29013333,40237716,29013333,28427619,4,5.37,0.04,0.02,34516380,35086829,93,32631315,98.4,269753,34516380,5.4,0
"452","ERR1473401","8-9pcw","Prenatal","11871_donorID","F","MEDU","Hindbrain","",4,"sequencing batch:FC2014_035",1.66,2.05,0.01,122.88,130.09,273932,61.54,28968449,80340523,28968449,29242986,13.41,13.6,0.09,0.04,47073617,47881760,84.72,40563251,98.3,284481,47073617,13.6,0.1
"453","ERR1473402","8-9pcw","Prenatal","11878_donorID","F","MEDU","Hindbrain","R",NA,"sequencing batch:FC2014_037",1.41,3,0.01,125.2,127.9,196601,63.95,24053428,47501307,24053428,23710023,15.67,6.46,0.08,0.04,37610367,38650362,90.85,35113574,97.3,275533,37610367,6.5,0.1
"454","ERR1473403","8-9pcw","Prenatal","11845_donorID","M","MEDU","Hindbrain","",2,"sequencing batch:FC2014_043",4.05,2.78,0.08,133.98,137.48,258243,81.46,39369829,62457378,39369829,38720884,4.48,7.27,0.04,0.02,48329781,49002790,91.36,44769300,98.6,295928,48329781,7.3,0
"455","ERR1473404","8-9pcw","Prenatal","11851_donorID","F","MEDU","Hindbrain","",4,"sequencing batch:FC2014_043",2.66,3.06,0.01,132.98,135.62,203685,79.52,32319333,50010873,32319333,32158472,5.74,7.04,0.05,0.02,40642558,41358593,91.23,37730585,98.3,291673,40642558,7,0
"456","ERR1473405","8-9pcw","Prenatal","11873_donorID","F","MEDU","Hindbrain","",18,"sequencing batch:FC2014_066",4.1,3.61,0.02,128.42,129.52,229707,70.1,30881415,48212428,30881415,30392009,12.76,3.83,0.05,0.04,44053295,45383100,93.24,42313034,97.1,247112,44053295,3.8,0.1
"457","ERR1473406","8-9pcw","Prenatal","11912_donorID","M","MEDU","Hindbrain","",2,"sequencing batch:FC2014_066",5.1,3.17,0.15,127.25,128.62,247503,65.35,31678030,54785162,31678030,31505189,16.17,4.65,0.05,0.06,48472785,49673397,92.94,46165362,97.6,243489,48472785,4.6,0.1
"458","ERR1473407","8-9pcw","Prenatal","11832_donorID","F","MEDU","Hindbrain","",3,"sequencing batch:FC2014_065",3.9,3.51,0.02,129.9,131.81,312639,75.17,44037675,67980319,44037675,43597467,9.77,5.2,0.05,0.03,58587596,60446520,91.72,55444302,96.9,273591,58587596,5.2,0
"459","ERR1473408","8-9pcw","Prenatal","11830_donorID","F","MEDU","Hindbrain","",NA,"sequencing batch:FC2014_071",3.36,2.99,0.01,131.54,134.12,256423,73.62,34792680,58906936,34792680,34225755,9.75,6.48,0.07,0.03,47259879,48415013,91.13,44120895,97.6,294881,47259879,6.5,0.1
