Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
ERR1473031	0.722474441806881	0	0.0117786579479023	0.0334417033493921	0.232305196895825	9999	0.46407339594126	0.969037155426529
ERR1473032	0.405093194960897	0	0.0316490775469385	0.036242800410358	0.527014927081806	9999	0.491550102664589	0.939426474152729
ERR1473033	0.68216975149523	0	0.0204725280881153	0.0346113927088116	0.262746327707843	9999	0.438323344301098	0.987585816060713
ERR1473034	0.647897232266118	0	0.0192938541678014	0.0411545910670498	0.29165432249903	9999	0.477706899831369	0.950936658659779
ERR1473035	0.636071968116069	0	0.00891603066708092	0.0336929445346141	0.321319056682236	9999	0.480720436578138	0.949029715562915
ERR1473036	0.59724127222707	0	0.0261658126048198	0.0385348677610805	0.338058047407029	9999	0.446058322844284	0.976020510982815
ERR1473037	0.549481838429125	0	0.0207852570814944	0.0423455609286131	0.387387343560767	9999	0.467823955655018	0.956760893036217
ERR1473038	0.671744184867392	0	0.0184536872758749	0.0311820305243942	0.278620097332339	9999	0.447929763070059	0.978952443650966
ERR1473039	0.454093379542249	0	0.0242178232273954	0.0529484025679405	0.468740394662415	9999	0.55701540482099	0.876026420786926
ERR1473040	0.514726338314624	0	0.0170029426437281	0.064650225779276	0.403620493262372	9999	0.48984942865462	0.936385393565127
ERR1473041	0.61346790964544	0.000979525447951958	0.0192910154842961	0.0491590317670073	0.317102517655304	9999	0.425702891302899	0.993716918828461
ERR1473042	0.544045636017875	0	0.0202959071872144	0.0514874495538057	0.384171007241105	9999	0.480624783418822	0.944949852613089
ERR1473043	0.489878431964565	0	0.0357656288058167	0.0640441602504882	0.41031177897913	9999	0.488643607442091	0.935839890510205
ERR1473044	0.614035746560797	0	0.0392800021035352	0.046269199011976	0.300415052323692	9999	0.471517655503565	0.952983395435342
ERR1473045	0.683826962801207	0	0.013329955018618	0.0352370415973241	0.267606040582851	9999	0.473400082476834	0.957623056228131
ERR1473046	0.71575436043174	0	0.0156213744076718	0.0310914055686987	0.23753285959189	9999	0.459984700721864	0.971911085898469
ERR1473047	0.170677159363142	0	0	0.1119120438248	0.717410796812059	9999	0.620910838817596	0.834688440104187
ERR1473048	0.531973543970973	0	0.0550925084441853	0.0610658851104077	0.351868062474434	9999	0.430978031134044	0.983398388187214
ERR1473049	0.531713583146576	0	0.00390710087041392	0.0321836818543656	0.432195634128645	9999	0.53454572499835	0.89912447662056
ERR1473050	0.495677107598001	0	0.0543838741257552	0.0287562703825292	0.421182747893715	9999	0.508108460642159	0.91895578665292
ERR1473051	0.765231613499389	0	0.000687771317435118	0.0173261552772855	0.216754459905891	9999	0.531829485521049	0.912068532554761
ERR1473052	0.697355011680107	0	0.0205384054135989	0.0737338518907762	0.208372731015518	9999	0.475454425897962	0.954698258418285
ERR1473053	0.777800851985987	0	0.00457079770747372	0.0195986682695022	0.198029682037037	9999	0.498755842522874	0.944060398128398
ERR1473054	0.633930412133823	0.029372505064639	0.0221855621298651	0.0481664235117904	0.266345097159882	9999	0.547556805541381	0.883601482308217
ERR1473055	0.513664442116517	0	0	0	0.486335557883483	9999	0.550341250218244	0.887388954403213
ERR1473056	0.595018098694165	0.0251031200074462	0.028939665730659	0.0504576249315086	0.300481490636221	9999	0.547163067514477	0.882296846081255
ERR1473057	0.719542879497165	0	0	0.0265271391550402	0.253929981347795	9999	0.519723214743524	0.919360077409893
ERR1473058	0.820662179942093	0	0	0.0234020994434955	0.155935720614411	9999	0.446482653876186	0.996759453236864
ERR1473059	0.807471849391347	0	0.000494775260366898	0.0204629320514045	0.171570443296881	9999	0.447829938090908	0.993872412953567
ERR1473060	0.440978294388161	0.0289637168508099	0.0288288366777599	0.113514122612636	0.387715029470633	9999	0.594344484924104	0.833699820322604
ERR1473061	0.626851140394462	0.123764264658819	0.0143675797748333	0.0271306667662703	0.207886348405615	9999	0.57772490817408	0.851070214340926
ERR1473062	0.640059196894078	0	0.0145315763116305	0.0357257404576588	0.309683486336633	9999	0.545111752969332	0.889555211891164
ERR1473063	0.688102812245516	0	0.00783612290948908	0.0526344205427264	0.251426644302269	9999	0.50654121733784	0.927658542758299
ERR1473064	0.691743592602726	0	0.00855713619342299	0.0531497910398537	0.246549480163997	9999	0.499725571099082	0.934048867972487
ERR1473065	0.812257595972811	0	0.0137320261086597	0.029250766614882	0.144759611303647	9999	0.451141281586872	0.990586484227409
