"","DonorID","Period","Regions","`Age (Numeric)`","`PMI (hours)`","pH","RIN","`Dissection Score`","Sex","Residuals"
"ENSG00000005339",0.155081047201503,0.265759103676001,0.186480096460886,0.0123763156212293,0.086502565002628,0.00744683815851697,0.0267976411858137,6.84900806445906e-05,0,0.259487902612777
"ENSG00000005379",0.278403959872352,0.291957317347021,0.0574426904972281,0.0169266585172636,0.0307476992470446,0.00188435889464538,0.0414215620248303,3.64349683673022e-05,2.11781155512692e-11,0.28117931861007
"ENSG00000005436",0.268350503626326,0.402839106280536,0.00255843815593941,0.000192978047638012,0.0691861147630452,9.93153005579556e-05,0.00233776031013431,7.55982685499497e-06,0.0355264622822755,0.218901761406693
"ENSG00000005448",0.469326394626435,0.0576933039626372,0.0609404429727246,0.0122729789719671,0.0262213181936064,0.09024740133753,0.0358706330284514,5.95203762209124e-06,1.64850418149587e-07,0.247421410018608
"ENSG00000005469",0.126884537680881,0,0.0409615917702221,0.0204347885417565,0.282515177827957,0.00309778562156402,0.00130709407708477,0.00315497724425208,0.0561848541296389,0.465459193106644
"ENSG00000005483",0.103696673074733,0.479103261021003,0.100840790688206,0.0232261011503502,0.0162652568438555,0.00440007620642771,0.0243286686466424,0.000417254257398971,0.00291202752760717,0.244809890583775
"ENSG00000005486",0.120637455025565,0.553021680596746,0.180849737569826,0.0093267000728448,0.000268625942529278,0.00667575956007953,0.0038003069613695,0.000306130571362323,0,0.125113603699678
"ENSG00000005513",0.17108494013946,0.187181218105068,0.258314154411429,0.0017783694091187,0.00203994077927602,0.0378214984477358,0.00555541074624413,0.000714596149338225,0,0.33550987181233
"ENSG00000005700",0.296309865934894,0.378146648716607,0.0384719714140569,0.0617288425291452,0.00199053337727791,0.026081709429933,0.0120846117146899,0.000358871654493762,4.12708793508812e-11,0.184826945187632
"ENSG00000005801",0.172032193039474,0.729428078632308,0.00534780630074732,0.00266098784542328,0.000808292997755142,0.00132358437591138,0.00120035644373916,0.000723518182863083,1.51018753951132e-10,0.0864751820307593
"ENSG00000005810",0.384173316915079,0,0.0353210401886738,0.217086455920412,0.00209013759055149,0.0231930855333132,0.0461506944681076,0.000321154198916777,2.11487431280064e-11,0.291664115163798
"ENSG00000005812",0.560453916346207,1.40613152094806e-13,0.0351216153234984,0.00210420971405777,0.0206900182168878,0.0249002323833452,0.0124286095641723,1.62710149726837e-06,0,0.344299771350194
"ENSG00000005882",0.127275227977568,0.196526749463465,0.464247631959326,0.0323264883955443,0.00385434397535473,0.00107517961804246,0.0089226133041008,0.000599031397645768,0.0207375757375331,0.14443515817142
"ENSG00000005884",0.389338451751974,0,0.244211936535354,0.0424381161443843,0.000852320336239222,0.00261487910437888,0.00678663526474229,0.000245760500095081,1.0739811473171e-11,0.313511900352092
"ENSG00000005889",0.19000005723369,0.238818949878552,0.190684858633599,0.0126468050380434,0.0106700668648992,1.98234620761502e-07,0.0077378967848727,0.000401496316470112,0.176705133684381,0.172334537330872
"ENSG00000005893",0.229093197136664,0.368458156124524,0.162384327590773,0.0696262988378246,0.007155169739611,0.000912089625005021,4.77832231692137e-05,0.00136307524315705,0,0.160959902479272
"ENSG00000005955",0.409872979289008,0,0.000196361986636343,0.112404102371689,0.0148419955342965,0.0445401351257485,0.0736964944310966,0.000206975226947209,4.5067602051449e-16,0.344240956034578
"ENSG00000006007",0.252415071935686,0.230604265696116,0.0950559084985194,0.133856802595028,0.0783959116340517,0.0524669353606766,0.00094719666738662,0.0061026162961761,0,0.15015529131636
"ENSG00000006015",0.339774860839781,0.0617430584049086,0.151757660665224,0.0132304313279089,0.0318981616190198,0.000479716355940225,0.00189572354565943,0.000120319780521011,0,0.399100067461037
"ENSG00000006016",0.0673085960452845,0.277549022463736,0.170799723303246,0.0487768042753686,0.000667743735558207,0.00126020726844667,0.0439601875555451,0.00119754238486787,0.00879815265040873,0.379682020317539
"ENSG00000006025",0.42641405432591,0,0.0311522362919566,0.20890653760673,0.00141159802117662,0.0039026025986404,0.00603590541245742,0.000229488178296185,2.66255646202229e-13,0.321947577564567
"ENSG00000006042",0.282133566217654,0.111425186572021,0.132591360895661,0.0230354468388235,0.056261238106062,0.000195155954912747,0.000274359032846798,1.4793160174046e-05,0.0138117067760062,0.380257186445839
"ENSG00000006047",0.148376342861001,0,0.152896182745729,0.000848335196484189,0.00845624950431478,0.00279645479823427,0.0382722583529231,0.00211922170274049,0.0473514386753639,0.598883516163209
"ENSG00000006062",0.17750335586225,5.00621710037909e-13,0.347163553754983,0.0986300930949242,0.000793132686286662,0.0105906564131629,0.0432770285831501,0.00162035477991922,0,0.320421824824824
"ENSG00000006071",0.184561886316698,0,0.301331755711783,0.311118724418335,0.0539155020074826,1.77283170695304e-05,0.0125275407294481,0.000601762627239357,0.000405553950576182,0.135519545921367
"ENSG00000006114",0.166980741429623,0.477116950135802,0.0762626926399471,0.0601227807966677,0.0371973026389402,0.000341273213382658,0.0210043126017039,8.90126914174616e-07,0,0.160973056417019
"ENSG00000006116",0.115922363729701,0.166785702234089,0.474211850056355,0.00315064135708688,0.0214224332501234,0.00583369544350361,0.000805486997419264,0.00521632126046763,0,0.206651505671255
"ENSG00000006118",0.222048588815765,0,0.0487135635508995,0.291595985617659,0.0435900525533726,0.0205947524901106,0.000714253726286951,0.000506638893846158,2.80212545098018e-10,0.372236164071847
"ENSG00000006125",0.478191576934804,0.0896341845999069,0.0251312243514371,0.000145170511140984,0.0998318256191337,0.0896764024181004,0.017587194837979,8.664196459272e-05,5.74284023486991e-11,0.199715778705477
"ENSG00000006128",0.029969083164181,3.05665898969567e-13,0.21630156584978,0.00205914110660776,0.151557082083129,0.0337307649324536,0.0100736483162421,0.000689580360582164,0.0516142344499298,0.504004899736788
"ENSG00000006194",0.283421240566566,0.339242469372212,0.205093052492974,0.0324434252130945,0.00811848200314417,0.000457132801753342,0.0147633728795942,0.00114570776444694,1.38129127466825e-10,0.115315116768086
"ENSG00000006210",0.0612989995905823,0.600562433699268,0.202913672978378,0.00200472489079944,0.00730229983725164,0.00124288469714611,0.00278825566522676,0.000209511104640016,4.22721717428355e-09,0.121677213309491
"ENSG00000006282",0.269557123942904,0.178191295638278,0.160601539552525,0.0182688501205835,0.0356710925502148,0.0363596361037412,0.00316773681219926,0.00181788842654702,0,0.296364836853007
"ENSG00000006283",0.098847729565831,0.142971905055714,0.381354089546917,0.00114647781932622,9.65545805700834e-05,0.00455115746486424,0.00830744260480607,0.00288708711605721,0.0323501282920691,0.327487427953845
"ENSG00000006327",0.455007331299069,2.37445423228132e-11,0.0773460858795297,0.00782205350396643,6.50740204592843e-05,0.0934786484291281,0.00208575465023419,0.00602526665038319,0,0.358169785543485
"ENSG00000006377",0,1.125715918889e-14,0.345877740672086,0.00253492644357839,0.00208812428864138,0.00121811813390996,0.0491439719535297,0.00657717867247239,0.00934615993918391,0.583213779896588
"ENSG00000006432",0.252836243426035,1.08337450125716e-12,0.055907736248358,0.147222657545802,0.0212141915654151,0.000239715214613838,0.104176637358939,0.000112725768281952,0,0.418290092871472
"ENSG00000006451",0.285959120765061,0.208836087276599,0.100750420419227,0.153865533899853,0.000490336355560512,0.0378561998583519,0.00702025023090192,3.06634995245256e-05,0.0211504917732623,0.184040895921659
"ENSG00000006459",0.344401158514654,1.0002612921119e-12,0.256179320492986,5.60467964357933e-05,0.0680683132052105,0.00292352943386987,0.0416618159059082,0.00247365285075902,0,0.284236162799176
"ENSG00000006468",0.061867173139752,0.0402756352974861,0.576278204933199,0.00295796674186812,0.00680515359052187,0.00172457254630691,0.0276218101903778,1.24446655465325e-05,0.00990363570718247,0.272553403187759
"ENSG00000006530",0.487012465046907,0,0.0560450743710318,0.129420300360119,0.0119986279847361,0.0417026030109834,0.0644824085226286,0.00724114356531235,0.00907909967868302,0.193018277459599
"ENSG00000006576",0.214918651618262,0.405028485549053,0.0160002829263284,0.0552415062627115,0.00893278287844006,0.028185615138259,0.00699377429719091,0.000154629734779901,0.0639415953843111,0.200602676210665
"ENSG00000006607",0.145991051192017,3.24281835508743e-12,0.493671108103968,0.112090384235096,0.0023328187195498,0.0090512725431988,0.0234072783084455,0.00166466130336683,0.0190507499958041,0.192740675595312
"ENSG00000006611",0.0935968050521029,0,0.138039124055597,0.263210334216061,0.11531778201645,0.0247180745824373,0.0142450837372773,0.00659269145771428,2.38131472732122e-12,0.34428010487998
"ENSG00000006625",0.229910617446671,0,0.0909493510557436,0.000166375774682663,0.274687074331051,0.0212726939285591,0.00391606752705711,0.00305586838706681,0.076373450249246,0.299668501299923
"ENSG00000006634",0.334919766307854,0.336177149473282,0.0123914562146219,0.00464827947107049,0.0091602841302781,0.0107714267476367,0.0113835001704861,1.00690757791768e-08,0.0217691641893314,0.258778963226363
"ENSG00000006638",0.321899001779988,0,0.0657258595640341,0.0844339646996961,0.00030549973722069,0.000492456973026317,0.0970198784349068,6.96059671204576e-06,2.02208808528127e-12,0.430116378212394
"ENSG00000006652",0.342632637180337,0.335871296061076,0,0.000362259506637676,0.00372398546792592,0.0147176660866424,0.00477439533734467,9.03579693987674e-05,0.018589694233566,0.279237708157072
"ENSG00000006695",0.37513331624296,0,0.0166615032374105,0.0151882128808338,0.116220811384471,0.0193236210725301,0.120911761058418,0.00278530977285401,0,0.333775464350523
"ENSG00000006704",0.0646078999217893,0.745651531396884,0.0161705306638009,0.00892936402829029,0.0275712732575143,0.00025844941354677,0.00118014123641466,3.6413060291089e-05,0,0.135594397021468
"ENSG00000006712",0.368097525059695,1.36773961013022e-11,0.00950113319651297,0.101192727812801,0.164640526976211,1.38838553684763e-06,0.00131732237542992,0.004979278713985,0,0.350270097466151
"ENSG00000006715",0.230520457350285,0,0.284687696853693,0.0668210735158327,0.035089848628081,0.093113670927258,0.0207557678808941,0.00493595035876078,0.0533623262023707,0.210713208282825
