"","DonorID","`Proportion of Neurons (MultiBrain)`","Regions","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Period","`Proportion of Oligodendrocytes (MultiBrain)`","`PMI (hours)`","`Age (Numeric)`","RIN","pH","`Dissection Score`","Sex","Residuals"
"ENSG00000003989",0.18758540901533,0.14943308063811,0.0671583027236917,0.236909367799415,0.0734267576360762,0,0.0356602768530654,0.00121450683519605,0.0121179818744965,0.0011631367118804,0.000104760096955654,6.6027572385147e-05,3.16103109024244e-09,0.235160389082367
"ENSG00000004059",0.299397828872131,0.16021922711802,0,0.0354284835649544,0.0633197201924216,0.14545620404592,0.0187704957428025,0.000891516850132349,6.97888237159509e-05,0.000437994178059429,1.5777704625565e-06,1.73317839981551e-05,9.14684178718595e-13,0.275989831056467
"ENSG00000004139",0.279727081264201,0.0471663848498732,0.152693565961704,0.0215751861309223,0.00522008292655715,0.357674343544292,0.00875448069230143,0.00988171034032114,0.000359324663715852,0.000385691415277018,1.67936147825246e-05,2.97315117849591e-05,5.49081656611756e-12,0.116515623078777
"ENSG00000004142",0.524236312878357,0.0934769729888775,0.011021300581935,0.0323017428123417,0.0563903494129815,0,0.0059099549700998,0.000454168236864511,0.00497233774661769,5.24213411420643e-05,0.000120376317191274,9.50089430951374e-05,4.13211501681269e-12,0.270969053766365
"ENSG00000004399",0.229917180140929,0.0441808230114525,0.324845865179053,0.000501406043408101,0.00708431473547594,0,0.0038684241595963,0.00428467259294361,0.000150175093150435,4.01033862179172e-05,0.000208696498743273,7.1520589151911e-05,3.89724837331024e-12,0.384846818565981
"ENSG00000004455",0.203844924882129,0.354604695079191,0.068750374817186,0.0977274659594295,0.00951025481624183,0,0.0524377608736313,0.0122340604999765,0.00491256346086055,1.11436208496687e-05,0.000174203212247305,6.84655588995142e-05,8.10833233328917e-10,0.195724086408525
"ENSG00000004468",0.14915107388469,0.301316216606758,0.0797195255151081,0.0587001641382928,0.0968096304568429,0.0150072530239173,0.0283024524504044,0.029507567334212,0.00204425837816162,0.0225942665444215,0.000776625114253157,0.00021213023568311,7.34772299077588e-13,0.21585883631652
"ENSG00000004478",0.159354522343313,0.0654206227615989,0.215953913840729,0.0160911386102967,0.0689355353508542,0.219142372428215,1.16642246522928e-06,0.0140713165111294,0.0164270892047859,0.0171017458150825,0.0532764835128821,0.00106808952213227,1.2992017682889e-11,0.153156003663524
"ENSG00000004487",0.0916454004688104,0.13534312097507,0.00383117080467823,0.0610835575863467,0.0373626008034513,0.574592656315756,0.0388483507835065,0.00251373691313625,0.000116399973427846,0.000174621412305884,1.4586999065089e-05,5.23395157395968e-06,1.19517811634736e-10,0.0544685628933539
"ENSG00000004534",0.180894296438871,0.053681132045706,0.150973526667366,0.0149210044117284,0.0268297814369612,0.41507484644611,0.00561748521905321,3.95539271637233e-06,0.000176418095132657,1.7061068320002e-05,0.00030566106293611,3.14660318001013e-05,4.09278716473913e-10,0.15147336527402
"ENSG00000004660",0.0894568052254871,0.266606658075963,0.0451550378660653,0.0496464927566754,0.0492240793571707,0.292812352755043,0.0358321650236974,0.0016177789050933,0.0307213623992603,0.00337548659932144,0.000845311781287112,2.81646641960432e-07,7.61474614142179e-12,0.134706187600679
"ENSG00000004700",0.362851250840402,0.118270131315824,0.0214287435248285,0.0433837043678185,0.0229224553145844,0.180846687964783,0.025127152551023,1.23674236637676e-05,1.50893403192073e-05,0.000101963024555209,7.32368669729514e-05,6.75086526158998e-06,2.19101946977633e-10,0.224960466380862
"ENSG00000004766",0.18087321214476,0.226538542000399,0.0241257835684993,0.162306705879082,0.13739009293027,5.8158034797485e-12,0.0886990793976505,0.000119025036989171,0.00133927845243932,5.07873621042744e-05,0.00231156303163083,9.89751445502527e-05,5.62802304791527e-10,0.176146954483008
"ENSG00000004776",0.0845713620359499,0.155936663102535,0.158638816462437,0.000146413352708522,0.000403806413850999,0.418089242161829,0.0245550699659426,0.0227005175354083,0.0194490456724854,0.000710477295713264,0.000538411026595698,6.94929009033703e-05,3.88498351550467e-12,0.114190682069755
"ENSG00000004777",0.206029136480076,0.0834821898371456,0.100773852856003,0.0341281320187825,0.00962370401400218,0.355236848233402,0.0170421831107928,0.00349868420363894,0.00529340318101168,2.91997297439629e-05,0.000194949665193888,1.96674028023345e-05,6.16758079477971e-11,0.184648049205729
