"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"350","ERR1473301",0.78719655378707,0,0.0222141738922284,0.0296532647076211,0.16093600761308
"351","ERR1473302",0.669206952341843,0,0.0250409644960315,0,0.305752083162125
"352","ERR1473303",0.586583624602211,0,0.0319461300498834,0.0073224468136042,0.374147798534301
"353","ERR1473304",0.567973751214814,0,0.0217738348458533,0,0.410252413939333
"354","ERR1473305",0.644013810269851,0,0.0404314625010838,0,0.315554727229066
"355","ERR1473306",0.634081389678405,0,0.0377303241040315,0,0.328188286217564
"356","ERR1473307",0.822999759684965,0,0.0235884091723397,0.00273409738331327,0.150677733759382
"357","ERR1473308",0.737624796188637,0.0016372775120772,0.0196826928845254,0.000400539373554134,0.240654694041206
"358","ERR1473309",0.739297940926815,0,0.0211118164731047,0.000843613401410359,0.23874662919867
"359","ERR1473310",0.720614224387394,0.0243164144391932,0.0251412047817115,0.00138740465721702,0.228540751734485
"360","ERR1473311",0.671031506827195,0.0817962770286599,0.0341309042264076,0,0.213041311917737
"361","ERR1473312",0.625603011728988,0.0675048306694793,0.051023070563266,0,0.255869087038266
"362","ERR1473313",0.813093067437236,0,0.0193191636468196,0,0.167587768915944
"363","ERR1473314",0.824732711237576,0,0.00903252917058129,0,0.166234759591843
"364","ERR1473315",0.695769621173032,0,0.0207475002929295,0.00682002134974216,0.276662857184296
"365","ERR1473316",0.728987360188143,0,0.0141668735264208,0,0.256845766285436
"366","ERR1473317",0.773344291803089,0,0.0212358712791799,0,0.205419836917731
"367","ERR1473318",0.690440607256019,0,0.0376013103351249,0,0.271958082408856
"368","ERR1473319",0.653055595086656,0,0.0313663250999082,0,0.315578079813435
"369","ERR1473320",0.794028318797792,0,0.0136674673008184,0,0.19230421390139
"370","ERR1473321",0.69030698540624,0.017373125869411,0.0505148843860447,0.017802019943906,0.224002984394399
"371","ERR1473322",0.7353679096805,0,0.0197794663165212,0,0.244852624002979
"372","ERR1473323",0.797383714867232,0,0.0213375911522149,0,0.181278693980553
"373","ERR1473324",0.812848267497357,0,0.0129148807922101,0,0.174236851710433
"374","ERR1473325",0.830329337268014,0,0.0188875095128893,0.00223925107582613,0.148543902143271
"375","ERR1473326",0.619013261873507,0,0.0241296069625167,0.00216694034909078,0.354690190814885
"376","ERR1473327",0.412310819887485,0,0.0459060954547141,0,0.541783084657801
"377","ERR1473328",0.419523587749537,0.00393590223121421,0.0528941383951331,0.000307358125043971,0.523339013499072
"378","ERR1473329",0.691219204725591,0,0.0297598718795624,0.00770159931904619,0.271319324075801
"379","ERR1473330",0.3077998492571,0,0.0989833595705514,6.1500460989251e-05,0.593155290711359
"380","ERR1473331",0.239008258282969,0,0.133277474959105,0,0.627714266757926
"381","ERR1473332",0.123028519453886,0,0.137428116937945,0,0.739543363608169
"382","ERR1473333",0.138221813284951,0,0.133945776144076,0,0.727832410570973
"383","ERR1473334",0.0954629229377341,0,0.173564337472265,0,0.730972739590001
"384","ERR1473335",0.404620434208669,0,0.0419004450608802,0,0.553479120730451
"385","ERR1473336",0.61205284457779,0.010407738079533,0.0319971093196845,0.0504943203358169,0.295047987687175
"386","ERR1473337",0.701486429367361,0,0.0385508519833705,0.0453215268770226,0.214641191772246
"387","ERR1473338",0.673544812540321,0.0051436574112891,0.037283483724604,0.0250810160625394,0.258947030261247
"388","ERR1473339",0.642687563480296,0.00265953137858266,0.0376335706165047,0.0242620488330135,0.292757285691604
"389","ERR1473340",0.766527724972663,0,0.0247460912917054,0.00689928458531584,0.201826899150316
"390","ERR1473341",0.746601743379074,0,0.0307305331085132,0,0.222667723512413
"391","ERR1473342",0.539773952930996,0,0.074422915369204,0.00568272407638095,0.380120407623419
"392","ERR1473343",0.752382332417784,0,0.0215040508265597,0,0.226113616755656
"393","ERR1473344",0.701381062160802,0.00676696820056883,0.0298589441565088,0.0185674939370763,0.243425531545044
"394","ERR1473345",0.774890902124872,0,0.0249241018271931,0.00588071255009441,0.194304283497841
"395","ERR1473346",0.579085300417189,0.0394961212775663,0.0482142349451407,0.0167553219921954,0.316449021367908
"396","ERR1473347",0.425332308013713,0.0121519729893511,0.0641216953134678,0.0178743977251723,0.480519625958296
"397","ERR1473348",0.739011055611478,0,0.0823343619275161,0.100068897983714,0.0785856844772924
"398","ERR1473349",0.80278390898087,0,0.0250373295694377,0.0225179516541988,0.149660809795493
"399","ERR1473350",0.645505139509424,0.00342610637022337,0.0564298832298694,0.0190669587497655,0.275571912140718
"400","ERR1473351",0.542681573552379,0.0168597391601521,0.0968481677329353,0.0204458241053547,0.323164695449179
"401","ERR1473352",0.62910868354413,0,0.0405465691470104,0.01872782395538,0.311616923353479
"402","ERR1473353",0.651892449102175,0,0.0349056444216663,0.0070009321219042,0.306200974354254
"403","ERR1473354",0.756166584675538,0,0.0206768999913407,0.00654078149128506,0.216615733841836
"404","ERR1473355",0.770648522461989,0.0178715654042189,0.0153440388649011,0,0.196135873268891
"405","ERR1473356",0.72112542470985,0.00871776307896519,0.0367160027006789,0.00911881000694773,0.224321999503558
"406","ERR1473357",0.614247364433319,0,0.0395017685354732,0.0357098402667651,0.310541026764442
"407","ERR1473358",0.310074820620235,0,0.0838978055602864,0.0237078024944196,0.582319571325059
"408","ERR1473359",0.822262241631759,0,0.0184051905303831,0.0193883876666646,0.139944180171194
"409","ERR1473360",0.668519394821021,0,0.0319274682765567,0,0.299553136902423
"410","ERR1473361",0.766088017421884,0,0.0186671746126353,0.00983856666792009,0.20540624129756
"411","ERR1473362",0.660749849373176,0.0441896173233314,0.0421785214605674,0.00759319258173785,0.245288819261188
"412","ERR1473363",0.684856234463564,0.0305288963118994,0.0371523533500402,0.0125879732078559,0.23487454266664
"413","ERR1473364",0.795835393516165,0,0.0240638636767809,0,0.180100742807054
"414","ERR1473365",0.549696336437134,0,0.0607244510374592,0.0298335216649762,0.35974569086043
"415","ERR1473366",0.62776848032606,0,0.0420251886876674,0.0105780251354816,0.319628305850791
"416","ERR1473367",0.653693802812574,4.75789780585184e-05,0.0467248587245714,0.0140713415362846,0.285462417948511
"417","ERR1473368",0.61870068574116,0,0.0298875684100944,0.0486822188936634,0.302729526955083
"418","ERR1473369",0.447701305580915,0,0.0935579257550315,0.0545745715119287,0.404166197152125
"419","ERR1473370",0.426537471728492,0,0.051536602235053,0.0453526290653741,0.476573296971081
"420","ERR1473371",0.449902631568826,0,0.0512348011185938,0.0576802786147316,0.441182288697848
"421","ERR1473372",0.434227124125712,0,0.0733651997475232,0.0848153649130883,0.407592311213676
"422","ERR1473373",0.148678370854972,0,0.0950072414972563,0.0282222707549327,0.728092116892839
"423","ERR1473374",0.156110893874437,0,0.113869014494404,0.0115828178984065,0.718437273732752
"424","ERR1473375",0.719473708244741,0,0.0160582708837891,0.00497483088809042,0.25949318998338
"425","ERR1473376",0.707651605977615,0.00350809084046423,0.0382186913035951,0.0129766882601199,0.237644923618206
"426","ERR1473377",0.814826792332416,0,0.0177403192750477,0,0.167432888392537
"427","ERR1473378",0.824419867580471,0,0.00946741713883646,0,0.166112715280692
"428","ERR1473379",0.763358059513535,0.0130500721439254,0.0157733762892041,0.00380807332641787,0.204010418726917
"429","ERR1473380",0.569692656303214,0.0112004244231044,0.0597245946628054,0.00926894278258096,0.350113381828295
"430","ERR1473381",0.80594901370375,0,0.0150619893805177,0,0.178988996915732
"431","ERR1473382",0.417190023543767,0.124259102856485,0.0336982526214469,0.118827952908665,0.306024668069636
"432","ERR1473383",0.700300747308973,0.0357972589617639,0.0419406211933907,0.0165168165122386,0.205444556023634
"433","ERR1473384",0.766027576872363,0.0676339077610532,0.0168642094274556,0.000666663488741544,0.148807642450387
"434","ERR1473385",0.579691057104322,0.0303424153893573,0.049714431974706,0.0225277886285142,0.3177243069031
"435","ERR1473386",0.710544258368887,0,0.028117847446728,0.00250084667449409,0.258837047509891
"436","ERR1473387",0.0406242421931593,0,0.0313658946540396,0,0.928009863152801
"437","ERR1473388",0.66328681018558,0.0576385326057165,0.0245522879330665,0,0.254522369275637
"438","ERR1473389",0.393225036092529,0.00457710801606562,0.0512560988650333,0.0464959285273233,0.504445828499049
"439","ERR1473390",0.536505075938801,0.0971811978869721,0.0514126245078001,0.0129536264007187,0.301947475265708
"440","ERR1473391",0.693726902821691,0,0.027207765233848,0.00182429161954681,0.277241040324914
"441","ERR1473392",0.73895202560549,0.0169293618319424,0.0237444505893221,0.00326889015632508,0.217105271816921
"442","ERR1473393",0.762087870649526,0,0.0180738867919276,0.00219691882352735,0.217641323735019
"443","ERR1473394",0.825276506114428,0,0.0117511990502884,0,0.162972294835284
"444","ERR1473395",0.798664066974731,0,0.0147835858505879,0.000433287414632984,0.186119059760048
"445","ERR1473396",0.679795246408821,0.0185368054742979,0.0211264209884239,0.00408162016907357,0.276459906959383
"446","ERR1473397",0.694895902445434,0.0282034627146195,0.0202455833250753,0.0117899987079001,0.244865052806972
"447","ERR1473398",0.65204447622951,0.0184597053861475,0.0168382693736391,0.000842925362014684,0.311814623648689
"448","ERR1473399",0.68595120495097,0.00979595852927422,0.0234034709073213,0,0.280849365612435
"449","ERR1473400",0.788893126869983,0,0.0156341823556214,0.000941934617944536,0.194530756156451
"450","ERR1473401",0.668810040435348,0.0218803631891576,0.0359833657949343,0.0112782180538341,0.262048012526726
"451","ERR1473402",0.836355178460781,0,0.0144481359751733,0.00243543642236006,0.146761249141685
"452","ERR1473403",0.79872962437099,0,0.0257596247611802,0.00698327586873089,0.168527474999099
"453","ERR1473404",0.710139741184362,0,0.0254949472489666,0.0103000315340804,0.254065280032591
"454","ERR1473405",0.907909408338418,0,0.0125864909963392,0.0119842027282115,0.0675198979370308
"455","ERR1473406",0.846290617694294,0,0.00826036597314789,0.0464909090271867,0.0989581073053709
"456","ERR1473407",0.840529213964879,0,0.0129088639743058,0.0242667112548365,0.122295210805979
"457","ERR1473408",0.797212453557007,0,0.0170053693067815,0,0.185782177136211
"458","ERR1473409",0.555662567161573,0.0698316355466383,0.0344265249804412,0.103491547819278,0.236587724492069
"459","ERR1473410",0.756220449252643,0.0226566833752019,0.0298050435050165,0.00601284391220442,0.185304979954934
"460","ERR1473411",0.75859923345239,0.0283375964919994,0.0247003618653485,0.00564348622093634,0.182719321969326
"461","ERR1473412",0.785974280294596,0.0367149749351368,0.0282412078817622,0.00374682582392153,0.145322711064584
"462","ERR1473413",0.847567095402349,0.00699643624730239,0.013483342443001,0.00147486985904861,0.130478256048299
"463","ERR1473414",0.785506471764065,0.0288698235891657,0.0115702616421554,0,0.174053443004614
"464","ERR1473415",0.39932492596243,0.140558602811052,0.0518498491022791,0.0943618623186031,0.313904759805636
"465","ERR1473416",0.696801614205157,0,0.0242863004025788,0,0.278912085392265
"466","ERR1473417",0.591819685282371,0.000229450703090849,0.0423834409661954,0.00238630440873954,0.363181118639604
"467","ERR1473418",0.695036458464279,0.0016478081318396,0.025635592757547,0.0106565440701632,0.267023596576171
"468","ERR1473419",0.614991031535205,0,0.031469627758243,0.0039399682530241,0.349599372453528
"469","ERR1473420",0.594576194317585,0.00594629242437323,0.0403794181815924,0.0215706011473049,0.337527493929144
"470","ERR1473421",0.720924132700543,0,0.0247524337178179,0.00659991145016927,0.24772352213147
"471","ERR1473422",0.556869730329566,0,0.0440734748187211,0.0190288313128225,0.38002796353889
"472","ERR1473423",0.689257439567924,0,0.0270325645220214,0.00697618610653141,0.276733809803523
"473","ERR1473424",0.754386673760917,0,0.0200075818031388,0.00425228885427858,0.221353455581665
"474","ERR1473425",0.712919005199358,0.00766349970237342,0.0152887558766638,0.00992804874589573,0.254200690475709
"475","ERR1473426",0.561258848707737,0,0.0342997045155851,0.00551249789029416,0.398928948886384
"476","ERR1473427",0.580401958590688,0,0.0390361229938959,0.00286747223530885,0.377694446180107
"477","ERR1473428",0.791720046325811,0,0.0176589282902861,0.00258833253171227,0.188032692852191
"478","ERR1473429",0.551753711060661,0,0,0.0067560863029822,0.441490202636357
"479","ERR1473430",0.689150752544686,0,0.0247926567078082,0,0.286056590747506
"480","ERR1473431",0.670766532347,0.000187606441867999,0.0318537627772029,0.013645810382137,0.283546288051792
"481","ERR1473432",0.487452943999428,0,0.0588835169152106,0.0148781558592645,0.438785383226097
"482","ERR1473433",0.557026511902566,0,0.0579210000416124,0.0120900942617038,0.372962393794118
"483","ERR1473434",0.694982712708437,0.000870149267073183,0.0260030878805685,0.00411064748142541,0.274033402662496
"484","ERR1473435",0,0,0.151885883196574,0,0.848114116803426
"485","ERR1473436",0.298106991453307,0,0.0889328760590326,0.0379602976917298,0.57499983479593
"486","ERR1473437",0.132247176079347,0,0.119560257260839,0.0206179118037323,0.727574654856082
"487","ERR1473438",0.14922148059837,0,0.129224233027401,0,0.721554286374228
"488","ERR1473439",0.431136457720123,0.0311351978887691,0.085064977844825,0.0160025350281285,0.436660831518154
"489","ERR1473440",0.688312324213267,0,0.0200502911833056,0.00398317718051173,0.287654207422916
"490","ERR1473441",0.693406281433703,0,0.0534781313474108,0.0276671402671744,0.225448446951712
"491","ERR1473442",0.702389615687174,0.0217774044481402,0.0500383804014607,0.0460115062092949,0.17978309325393
"492","ERR1473443",0.780801971148316,0.000712222600582133,0.0275146325040928,0.00909476280484012,0.181876410942169
"493","ERR1473444",0.802406627801453,0,0.0107492863663979,0.0645527241408972,0.122291361691252
"494","ERR1473445",0.790047826703521,0,0.0201594955068975,0.0777635615836801,0.112029116205901
"495","ERR1473446",0.711352543226281,0,0.0311482605465959,0.0301118523020329,0.22738734392509
"496","ERR1473447",0.61301524877415,0,0.0418728146572456,0,0.345111936568604
"497","ERR1473448",0.632048433509984,0,0.0327621459178665,0,0.33518942057215
"498","ERR1473449",0.727782995348,0,0.0348416377167171,0.012091850849764,0.225283516085519
"499","ERR1473450",0.845797943818951,0,0.0101635723635013,0.00106470731199287,0.142973776505555
"500","ERR1473451",0.636654791208946,0.0158676293197687,0.036513821309989,0,0.310963758161297
"501","ERR1473452",0.727951422634984,0,0.0216687492782214,0.0080276464815503,0.242352181605244
"502","ERR1473453",0.730839393133883,0,0.0222692951757517,0.0152420547726276,0.231649256917738
"503","ERR1473454",0.597712267489113,0.0135423361261177,0.0523667241550798,0.0153501356475339,0.321028536582155
"504","ERR1473455",0.778598910460883,0.0196243693588722,0.0182251006418005,0,0.183551619538444
"505","ERR1473456",0.831860509650257,0,0.0134617824185555,0.00197435173266986,0.152703356198518
"506","ERR1473457",0.766512821506083,0.00288739267456821,0.0305172970704079,0.00391425951303454,0.196168229235907
"507","ERR1473458",0.869004666669449,0,0.0127525800501397,0,0.118242753280411
"508","ERR1473459",0.779748983214003,0,0.0130816242172384,0.000801722928324795,0.206367669640434
