"","Regions","DonorID","Sequencing Batch","Age Interval","`Intronic Rate`","`Mapping Rate`","Hemisphere","`PMI (hours)`","`Total N Reads`","Sex","Residuals"
"ENSG00000230415",0.00281723078846447,0.16615586468479,0.252961374076111,0.0391472866908896,0.0671775004722242,0.0782503077052348,4.47760882533147e-14,0.0220365853302764,0.00129015214610498,0.169189602032481,0.200974096073379
"ENSG00000162572",0.00939226779005646,0.0617889161220231,0.619430612657709,0.0977294977061876,0.0664457816954401,0.00218360561523365,0,0.0107338144628317,0.000843306528672692,0.000116293555557472,0.131335903866288
"ENSG00000278073",0.20099120884277,0.1194937295088,0.128992389544216,0.00410998525666357,0.0532752555158726,0.0262990823520485,0,0.0138725686960753,0.000189432394233176,0,0.452776347889321
"ENSG00000131584",0.245719287951771,0.0419559005071274,0.507487584052363,0.0271040577652974,0.0461707136133962,0.0140814331442966,0,0.00257393916727616,0.000324698569809486,0.00101319314206405,0.113569192086598
"ENSG00000169972",0.007237525513083,0.0665820421352007,0.673975731354563,0.0901463557854987,0.000180517210122465,0.0172335754753154,0.000426982697364258,0.000380155915641667,2.90248447260973e-05,0.00294679351468411,0.1408612955538
"ENSG00000283712",0.156158440489265,0.0772498755246561,0.477297091716726,8.50820764705245e-13,0.0135844011308423,0.00687389662665371,0.00313024350500889,0.00405480212192223,0.000109262296846908,0,0.261541986587229
"ENSG00000240731",0.220608392493921,0.111063749116909,0.0363358506857099,0.0641648781281436,0.242600567315738,0.134229878074122,5.27583155145968e-13,0.00849427975358348,0.000630838994359712,0.0516230499226087,0.130248515514377
"ENSG00000127054",0.0988669632277685,0.054248867520457,0.55069111781436,0.0380688815185764,0.094283133793534,0.0245894204406899,1.97156982376643e-13,0.00322919524377532,0.00167024936240801,0.0029504304241188,0.131401740654115
"ENSG00000224051",0.0206548094609144,0.0628627306855439,0.577208339902068,0.180953793640267,0.0183493619919435,5.60161247815365e-05,0.0125200419591234,3.72435952805295e-06,1.67985835111982e-05,6.2141521881576e-05,0.127312241770438
"ENSG00000169962",0.10536110862052,0.0871039288860111,0.431956934270676,0.0563554547119697,0.0988958766736161,0.012979968391403,0.0100995940491241,0.00489036071812626,0.000113357941645966,6.80865345764116e-11,0.192243415668822
"ENSG00000284372",0,0.0689473106672876,0.245446105386036,0.0146242213634877,0.0389627057290501,0.0180115826240503,0.0204084818144757,0.0190180974104495,0.00047854297523567,0.0930949516880338,0.481008000341894
"ENSG00000107404",0.0248184282802267,0.0233151952393107,0.765705699574336,0.0861680333216731,7.64573041240281e-05,0.00134703331192462,0.00425699912414901,0.00120728003029712,3.37610242990143e-05,0.00293754575099612,0.0901335670386637
"ENSG00000162576",0.134398562190706,0.197702752759032,0.40459343102933,0.0109218041793202,0.00894098099564236,0.00156399355111089,0,0.0102807058400398,0.0010181341266878,2.82599091486861e-12,0.230579635325305
"ENSG00000175756",0.0218109443715747,0.053302294997482,0.695103377356974,0.0394428599073095,0.0292344279104871,0.0335708141157108,0.00233380105762419,0.000174895411645966,0.000474617175007628,2.15813308216848e-11,0.124551967674603
"ENSG00000221978",0.0171568012400955,0.268118534510801,0.112620663136879,0.0368921408362887,0.284915468214052,0.0883783124301049,3.29537283318832e-12,0.00154534863962292,0.00139737694767591,0.00100167193086847,0.187973682110317
"ENSG00000224870",0.0218501074026357,0.119129474990748,0.541913299938142,0.0817677690068601,0.00442261784116395,0.0242772249395226,0.00711668971463631,0.00118907366283252,0.00061842913600184,0.0138526445322451,0.183862668835213
"ENSG00000264293",0.00281412878534324,0.262607457907012,0.0420793525517694,0.0808694131893075,0.238491116665531,0.102686457433264,0.00423976962444759,9.71325228240414e-05,0.00126463189222786,0.0624362490756122,0.202414290352661
"ENSG00000242485",0.0391165122109747,0.228353399765818,0.42894439289517,0.0063625578589749,0.0130643703255527,0.00085213683360093,6.22825430203424e-11,0.00192956788370207,2.91100991143044e-05,0.00523932540421006,0.276108626660599
"ENSG00000272455",0.384569580147995,0.122878285779096,0.0256425473828005,0.0591262222859293,0.0968869932082337,0.0700072433002772,2.55516541538785e-11,0.0217682595209408,0.000151166408714705,2.85420933866265e-11,0.218969701911919
