"","`rRNA ratio`","Regions","DonorID","`Exonic Rate`","Type of Batch","Hardy Scale","`Mapping Rate`","RIN","`PMI (hours)`","`Total N Reads`","Age Interval","Sex","Residuals"
"ENSG00000175756",0.408997819094212,0.100828220957298,0.156407115703959,0.0406128239165079,0.0144744898392458,3.13888014450505e-08,0.00513210391838543,1.8439366021766e-05,0.000183937209355498,3.40250147610365e-05,0.00411684034343659,1.0346673643296e-08,0.269194142901341
"ENSG00000223663",2.86116177009119e-05,0.313671791804336,0.0537207255289874,0.0836583743901273,0.00050432403756289,0.00167568619415316,0.0111930404670749,1.16256740214582e-06,0.00103199350738714,0.000150596349264638,1.12510876920648e-09,0,0.534363692410895
"ENSG00000221978",0.390004847304394,0.262421825701616,0.0701860044944516,0.137249463029706,0.00996874526105558,0.00715666799839119,0.00757104098390447,1.9259944033608e-06,0.00217922162186033,0.000150462777135984,2.45371249095023e-07,6.14323749049116e-07,0.113108935138084
"ENSG00000224870",0.404197223092013,0.184915105047249,0.116816239042761,0.00038354012017808,0.0151780840630863,0.012852428334719,0.00313295406294344,0.00424435453893568,4.41238324255551e-07,9.26250331750346e-07,9.502122550226e-06,1.54380528738973e-06,0.258267658281621
"ENSG00000242485",0.568531254646927,0.0223529680612045,0.132577387700113,0.0256169689094637,0.0227824807270968,1.37669948276014e-09,0.00385080997163293,8.25354337511372e-05,2.27424900527021e-05,0.000485850457958272,0.00141023863698948,1.94542312662918e-09,0.222286759642689
"ENSG00000272455",0.334030544345255,0.299693268677371,0.0937845639312614,0.101250908749633,0.00395815664194994,0.0178363467344805,0.00671222654427819,1.25268180117873e-05,0.0025096498935755,1.65355290383125e-05,0,0.000923832995739469,0.139271439139406
"ENSG00000235098",0.327912202841284,0.122081040454406,0.237947690664342,0.000661405587844091,0.0029341862374226,0.00411888428040225,0.00652576823985484,0.00197032092034773,0.000510232017238376,7.27825893914434e-06,5.20295914965339e-06,1.17012074528315e-06,0.295324617418025
"ENSG00000225905",0.233494241179734,0.178977207434148,0.143432425810098,0.0351902795437702,4.60976782926325e-13,0.0117573940915267,0.0127076066123514,0.00068662609796938,0.000178470565701996,1.95158731431196e-05,3.58612747067888e-11,1.22989528896981e-06,0.383555002859947
"ENSG00000205116",0.0421532178685878,0.662909042772144,0.0308512448092346,0.00281057447598631,0.00335860789175319,0.00607281200801372,0.00307603173682517,0.00124217385824274,0.00208870937470445,0.000679097654867771,0.00162379380263373,0.000627986000611323,0.242506707746395
"ENSG00000225285",0.0580943278545302,0.430126345148363,0.212556649241431,0.0151333512265565,3.44549783652592e-10,0.0416854060474696,0.00112445637105208,0.00082778632358593,5.78720028156466e-05,0.000448617901947779,6.12093719500835e-06,1.86175066280603e-06,0.239937204849841
"ENSG00000179403",0.0597613130654037,0.72131304654863,0.0515675621425045,0.00523349453056035,0.00387971825526132,0.000214717529849186,0.000921648262232896,0.00214783768513636,0.0012011194282675,0.00030370483205756,3.36487217553358e-10,7.3808285470432e-09,0.153455830002781
"ENSG00000215915",0.0666883381238384,0.447828264529161,0.213293398715478,0.0467543584780253,0,0.0126193260852203,6.70302071646579e-05,0.000293062748662581,0.000173910580292637,4.24485861262015e-07,6.02113771928391e-06,3.57472212973514e-06,0.212272290186447
"ENSG00000160072",0.447528765384232,0.148014315500832,0.132145473575978,0.0851896671197104,0.00982245942076667,0,0.00898135949884068,0.000728434306438367,0.000352138992972224,0.000214093448982633,4.28235918628414e-06,1.05175779235148e-06,0.167017958634268
"ENSG00000197785",0.642264937352822,0.0625143982394201,0.114346177276901,0.0011990854391662,0,0,0.0106821402333435,6.21366259915661e-07,3.46215594981901e-06,2.70745022989765e-06,1.71147988604323e-08,8.00586755610479e-07,0.168985652784353
"ENSG00000205090",0.242865279080851,0.54068756521117,0.0493667815831785,0.000131734334037392,0,4.2536407464974e-09,0.00712662445753111,0.0125702246625401,0.000706536156287276,2.74682072817021e-06,0.00125966479826411,0.00115016610784217,0.14413267253393
"ENSG00000160075",0.57081741721157,0.143208652662229,0.117862340200311,0.00637423842922887,0.00171750767195304,0.0030258455698001,0.00468506764592699,0.00350494751802728,7.35508884740719e-05,0.000166828862366093,0.00237798339348499,5.63506515492383e-07,0.146185056440113
"ENSG00000215014",0.534141876477208,0.0307363159831383,0.141082376302102,0.00145951382811749,0.0206076740030754,0.00209563274358286,0.00376955017131284,9.40754629458962e-05,4.42006919775246e-06,0.000388455866069319,0.00206244303114559,7.25006355107262e-08,0.263557593561469
"ENSG00000228594",0.232841964238366,0.212319716502181,0.0565435153785159,0.0224632597307544,0.00160881867713279,0.0133779004294176,0.00382671105689562,0.00273154393991821,2.9069711838125e-05,0.000906043051728487,0.00392808589355734,1.03079394754804e-09,0.449423370358901
"ENSG00000272106",0.578717838775586,0.0962484113013613,0.0546570977405536,0.000535572412022177,0.00306342065017478,5.79633272509742e-12,0.00916347854708924,0.0284998131809842,0.000327977649563084,0.000553378852613067,0.000205716121279151,2.26864099470776e-09,0.228027292494336
"ENSG00000197530",0.546928339156197,0.178839454726575,0.0870117013940629,0.0200865053292927,0.00369650905744182,8.47402011911608e-05,0.0154713112060708,1.78665616827405e-08,0.000242709088957684,0.000280444349246944,4.9836620655321e-06,6.69376418279237e-07,0.147352614585918
"ENSG00000248333",0.57469797962989,0.0717354571914522,0.138670937550721,0.010095693835011,0.000229760717317655,0.00229988198598912,0.00480061348837875,0.000701464813516248,0.000406508909663784,0.000210139633198777,4.31777636382694e-06,1.06946757562235e-06,0.196146175000922
"ENSG00000189339",0.577154468674287,0.116306859027051,0.143278378402698,0.0270069987961964,0.00240217204193391,0.0174443499677789,0.0113903996061527,0.00592947021597244,0.00033958969723185,2.04007259119382e-05,0.00155333753525897,0.000143643924450443,0.0970299313850767
"ENSG00000269737",0.0887510540471884,0.152165909519661,0.0692877332490191,0.453455139754033,0.0347790932718663,0.00225161337899274,0.00520246955717428,0.019111491212024,0.00105116014314607,0.000648063832727139,0.00111016216525884,0.000249132433381768,0.171936977435527
"ENSG00000008128",0.337139793424402,0.210941800021989,0.207972406377868,0.10494266599537,0.0100993914279424,0.0179963564745839,0.00347547855304761,0.000721833744497081,0.00255737617767125,0.000350635187081571,2.45426798694378e-06,6.26708557728275e-07,0.103799181639003
"ENSG00000227775",0.456610747108166,0.108652930700329,0.172898522696157,0.100086140972939,0.00962839825437596,0,0.0106882207903006,0.0105783443750698,0.000165757487196031,0.000223629277944625,4.91340758818173e-06,1.11697114649124e-06,0.130461277958788
"ENSG00000215790",0.427389394771895,0.210460168130618,0.105044080486586,0.0754852783685172,0.00270190319081412,0.0171300249848223,0.0116057184749896,0.0132998752421797,0.00101285854514919,0.000227822653307034,0.0035343117173351,0.00100005211266895,0.131108511321118
"ENSG00000008130",0.651043626403406,0.0223388611179749,0.145404006239637,0.0183475026166204,0.0151651784412725,0.0102762508468828,0.010306870672289,0.00800956302054939,0.000125940395514089,1.86679724346815e-05,0.00149158169969672,7.30399585042621e-15,0.117471950573715
