HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols	Ensembl gene ID
HGNC:18533	USP48	Approved	USP31	FLJ23277, FLJ11328, FLJ20103, FLJ23054, MGC14879	ENSG00000090686
HGNC:20078	USP49	Approved		MGC20741	ENSG00000164663
HGNC:20079	USP50	Approved			ENSG00000170236
HGNC:23086	USP51	Approved			ENSG00000247746
HGNC:29255	USP53	Approved		KIAA1350	ENSG00000145390
HGNC:58879	USP53-DT	Approved			ENSG00000293254
HGNC:23513	USP54	Approved	C10orf29	FLJ37318, bA137L10.3, bA137L10.4	ENSG00000166348
HGNC:20294	USPL1	Approved	C13orf22	bA121O19.1, D13S106E	ENSG00000132952
HGNC:17223	UST	Approved		2OST	ENSG00000111962
HGNC:40802	UST-AS1	Approved			ENSG00000227660
HGNC:40803	UST-AS2	Approved			ENSG00000236591
HGNC:12634	UTF1	Approved			ENSG00000171794
HGNC:24477	UTP3	Approved		FLJ23256, DKFZp761F222, SAS10, CRLZ1	ENSG00000132467
HGNC:1983	UTP4	Approved	CIRH1A	NAIC, FLJ14728, KIAA1988, TEX292, CIRHIN	ENSG00000141076
HGNC:18279	UTP6	Approved	C17orf40	HCA66	ENSG00000108651
HGNC:24329	UTP11	Approved	UTP11L	CGI-94	ENSG00000183520
HGNC:10665	UTP14A	Approved	SDCCAG16	NY-CO-16, Utp14	ENSG00000156697
HGNC:20321	UTP14C	Approved	KIAA0266	2700066J21Rik	ENSG00000253797
HGNC:25758	UTP15	Approved		FLJ12787, NET21, FLJ23637	ENSG00000164338
HGNC:24274	UTP18	Approved	WDR50	CGI-48	ENSG00000011260
HGNC:17897	UTP20	Approved		DRIM, 1A6/DRIM	ENSG00000120800
HGNC:28224	UTP23	Approved	C8orf53	MGC14595	ENSG00000147679
HGNC:28440	UTP25	Approved	C1orf107, DIEXF	MGC29875, DEF	ENSG00000117597
HGNC:12635	UTRN	Approved	DMDL	DRP, DRP1	ENSG00000152818
HGNC:12636	UTS2	Approved		UII, U-II, UCN2, PRO1068	ENSG00000049247
HGNC:30894	UTS2B	Approved	UTS2D	URP, U2B	ENSG00000188958
HGNC:4468	UTS2R	Approved	GPR14		ENSG00000181408
HGNC:12638	UTY	Approved		KDM6AL, KDM6C	ENSG00000183878
HGNC:12639	UVO	Symbol Withdrawn			
HGNC:12640	UVRAG	Approved		VPS38	ENSG00000198382
HGNC:53952	UVRAG-DT	Approved		LOC100506113	ENSG00000255507
HGNC:29304	UVSSA	Approved	KIAA1530		ENSG00000163945
HGNC:17729	UXS1	Approved		FLJ23591, UGD, SDR6E1	ENSG00000115652
HGNC:12641	UXT	Approved		ART-27, STAP1, SKP2	ENSG00000126756
HGNC:49239	UXT-AS1	Approved			ENSG00000267064
HGNC:25507	VAC14	Approved	TAX1BP2	FLJ10305, ArPIKfyve	ENSG00000103043
HGNC:48605	VAC14-AS1	Approved			ENSG00000214353
HGNC:58481	VAC14-AS2	Approved			ENSG00000260156
HGNC:12642	VAMP1	Approved	SYB1	VAMP-1	ENSG00000139190
HGNC:56361	VAMP1-AS1	Approved			ENSG00000276718
HGNC:12643	VAMP2	Approved	SYB2	VAMP-2	ENSG00000220205
HGNC:12644	VAMP3	Approved		CEB	ENSG00000049245
HGNC:12645	VAMP4	Approved			ENSG00000117533
HGNC:12646	VAMP5	Approved			ENSG00000168899
HGNC:11486	VAMP7	Approved	SYBL1	VAMP-7, TI-VAMP	ENSG00000124333
HGNC:12647	VAMP8	Approved		EDB, VAMP-8	ENSG00000118640
HGNC:53817	VAMP9P	Approved		TCONS_00008138	ENSG00000284516
HGNC:15512	VANGL1	Approved		STB2	ENSG00000173218
HGNC:15511	VANGL2	Approved		KIAA1215, LTAP, LPP1, STBM, STB1, STBM1, MGC119403, MGC119404	ENSG00000162738
HGNC:12648	VAPA	Approved		hVAP-33, VAP-A	ENSG00000101558
HGNC:12649	VAPB	Approved		VAP-B, VAP-C, ALS8	ENSG00000124164
HGNC:12651	VARS1	Approved	VARS2, VARS		ENSG00000204394
HGNC:21642	VARS2	Approved	VARS2L, VARSL	DKFZP434L1435, KIAA1885, G7a	ENSG00000137411
HGNC:19964	VASH1	Approved	KIAA1036		ENSG00000071246
HGNC:53215	VASH1-AS1	Approved			ENSG00000258301
HGNC:55446	VASH1-DT	Approved			ENSG00000258569
HGNC:25723	VASH2	Approved		FLJ12505	ENSG00000143494
HGNC:18517	VASN	Approved	SLITL2		ENSG00000168140
HGNC:12652	VASP	Approved			ENSG00000125753
HGNC:16919	VAT1	Approved		VATI, FLJ20230	ENSG00000108828
HGNC:12653	VAT1	Symbol Withdrawn			
HGNC:29315	VAT1L	Approved		KIAA1576	ENSG00000171724
HGNC:12657	VAV1	Approved	VAV		ENSG00000141968
HGNC:12658	VAV2	Approved			ENSG00000160293
HGNC:12659	VAV3	Approved			ENSG00000134215
HGNC:40608	VAV3-AS1	Approved	LINC02785		ENSG00000230489
HGNC:12660	VAX1	Approved			ENSG00000148704
HGNC:12661	VAX2	Approved		DRES93	ENSG00000116035
HGNC:12662	VBP1	Approved		PFD3, PFDN3	ENSG00000155959
HGNC:12663	VCAM1	Approved		CD106	ENSG00000162692
HGNC:2464	VCAN	Approved	CSPG2	PG-M	ENSG00000038427
HGNC:40163	VCAN-AS1	Approved			ENSG00000249835
HGNC:12664	VCF	Symbol Withdrawn		CATCH22	
HGNC:25918	VCF1	Approved	FAM104A	FLJ14775	ENSG00000133193
HGNC:25085	VCF2	Approved	CXorf44, FAM104B	FLJ20434	ENSG00000182518
HGNC:12665	VCL	Approved		VINC	ENSG00000035403
HGNC:12666	VCP	Approved		IBMPFD, p97, CDC48, TERA	ENSG00000165280
HGNC:30897	VCPIP1	Approved		VCIP135, KIAA1850, FLJ23132, DUBA3	ENSG00000175073
HGNC:20352	VCPKMT	Approved	C14orf138, METTL21D	VCP-KMT	ENSG00000100483
HGNC:12667	VCX	Approved		VCX1, VCX10R, VCX-10r, VCX-B1	ENSG00000182583
HGNC:18158	VCX2	Approved		VCX-2r, VCX-2R	ENSG00000177504
HGNC:18159	VCX3A	Approved	VCX3	VCX-8r, VCX-8R, VCX-A	ENSG00000169059
HGNC:31838	VCX3B	Approved		VCX-C	ENSG00000205642
HGNC:12668	VCY	Approved		BPY1, VCY1A, VCY1	ENSG00000129864
HGNC:31751	VCY1B	Approved		BPY1B	ENSG00000129862
HGNC:12669	VDAC1	Approved		MGC111064, PORIN	ENSG00000213585
HGNC:59145	VDAC1-AS1	Approved			ENSG00000309150
HGNC:12671	VDAC1P1	Approved	VDAC1P		ENSG00000073905
HGNC:12670	VDAC1P2	Approved	VDAC1LP		ENSG00000213856
HGNC:37478	VDAC1P3	Approved			ENSG00000234702
HGNC:12675	VDAC1P4	Approved	VDAC4, VDAC4P		ENSG00000235060
HGNC:12676	VDAC1P5	Approved	VDAC3, VDAC5P		ENSG00000270858
HGNC:37481	VDAC1P6	Approved			ENSG00000231341
HGNC:37482	VDAC1P7	Approved			ENSG00000213450
HGNC:37483	VDAC1P8	Approved			ENSG00000229036
HGNC:37484	VDAC1P9	Approved			ENSG00000232366
HGNC:37479	VDAC1P10	Approved			ENSG00000232809
HGNC:37480	VDAC1P11	Approved			ENSG00000237679
HGNC:39680	VDAC1P12	Approved			ENSG00000227254
HGNC:50515	VDAC1P13	Approved			ENSG00000232526
HGNC:12672	VDAC2	Approved			ENSG00000165637
HGNC:12673	VDAC2P1	Approved	VDAC2P		ENSG00000214976
HGNC:32693	VDAC2P2	Approved			ENSG00000255776
HGNC:51931	VDAC2P3	Approved			ENSG00000213262
HGNC:51932	VDAC2P4	Approved			ENSG00000234682
HGNC:54753	VDAC2P5	Approved			ENSG00000172974
HGNC:12674	VDAC3	Approved		HD-VDAC3	ENSG00000078668
HGNC:20722	VDAC3P1	Approved	VDAC3P		ENSG00000271198
HGNC:12677	VDD1	Symbol Withdrawn			
HGNC:12678	VDI	Entry Withdrawn			
HGNC:12679	VDR	Approved		NR1I1, PPP1R163	ENSG00000111424
HGNC:12680	VEGFA	Approved	VEGF	VEGF-A, VPF	ENSG00000112715
HGNC:12681	VEGFB	Approved	VRF	VEGFL	ENSG00000173511
HGNC:12682	VEGFC	Approved		VRP, VEGF-C	ENSG00000150630
HGNC:3708	VEGFD	Approved	FIGF	VEGF-D	ENSG00000165197
HGNC:13639	VENTX	Approved	VENTX2	HPX42B	ENSG00000151650
HGNC:30900	VENTXP1	Approved		NA88A, CT18	ENSG00000259849
HGNC:30901	VENTXP2	Approved			ENSG00000215037
HGNC:30902	VENTXP3	Approved			ENSG00000257364
HGNC:30903	VENTXP4	Approved			ENSG00000230465
HGNC:32214	VENTXP5	Approved			ENSG00000253569
HGNC:32216	VENTXP6	Approved			ENSG00000254105
HGNC:13638	VENTXP7	Approved	VENTX1	HPX42	ENSG00000236380
HGNC:54910	VENTXP8	Approved			ENSG00000230265
HGNC:25735	VEPH1	Approved		FLJ12604, KIAA1692	ENSG00000197415
HGNC:28325	VESTAR	Approved	LINC00638	MGC23270	ENSG00000258701
HGNC:12949	VEZF1	Approved	ZNF161	DB1	ENSG00000136451
HGNC:32320	VEZF1P1	Approved	ZNF161L1, VEZF1L1		ENSG00000236229
HGNC:18258	VEZT	Approved		DKFZP761C241	ENSG00000028203
HGNC:54949	VEZTP1	Approved			ENSG00000224072
HGNC:12684	VGF	Approved		SCG7, SgVII	ENSG00000128564
HGNC:12685	VGL	Symbol Withdrawn			
HGNC:20985	VGLL1	Approved		TONDU, TDU	ENSG00000102243
HGNC:20232	VGLL2	Approved			ENSG00000170162
HGNC:24327	VGLL3	Approved		VGL-3	ENSG00000206538
HGNC:28966	VGLL4	Approved		KIAA0121	ENSG00000144560
HGNC:12686	VGR	Symbol Withdrawn			
